date,Acrylic paints,Watercolor paints,Oil paints,Charcoal pencils,Sketch pads,Drawing paper,Canvases,Paintbrushes,Calligraphy pens,Colored pencils,Artist markers,Pastels,Gel pens,Painting easels,Drawing pencils,Blending stumps,Palette knives,Spray paints,Paint pallets,Paint rollers,Craft glue,Paint thinner,Canvas boards,Art erasers,Pencil sharpeners,Masking tape,Drawing tablets,Art books,Brush cleaners,Art smocks,Paint markers,Colored inks
2019-12-29,0.5559272727272726,0.259584,0.6527999999999999,0.14975999999999998,0.0,0.1,0.09,0.08985599999999999,0.832,0.22,0.18177391304347826,0.17,0.15,0.0,0.624,0.0,0.0,0.16527567567567567,0.0,0.03,0.3822,0.12,0.0,0.0,0.09508571428571427,0.1,0.04,0.21,0.11904,0.0,0.08,0.0
2020-01-05,0.5332363636363636,0.254592,0.6432,0.11232,0.06408648648648647,0.15,0.08,0.1248,0.76544,0.21,0.10852173913043478,0.16,0.16,0.0,0.6624,0.0,0.0,0.1349189189189189,0.07637014925373134,0.03,0.3666,0.11,0.0,0.0,0.15748571428571428,0.12,0.03,0.25,0.0,0.0,0.09,0.0
2020-01-12,0.4765090909090909,0.209664,0.6335999999999999,0.202176,0.0,0.16,0.08,0.17472,0.624,0.24,0.14379130434782608,0.15,0.15,0.0,0.72,0.0,0.0,0.1720216216216216,0.06705671641791044,0.04,0.3666,0.1,0.10886808510638298,0.0,0.1426285714285714,0.12,0.03,0.25,0.1056,0.0,0.09,0.0
2020-01-19,0.5899636363636364,0.154752,0.6911999999999999,0.154752,0.0,0.15,0.08,0.14975999999999998,0.61568,0.21,0.12751304347826087,0.14,0.15,0.0,0.6624,0.0,0.0,0.20912432432432432,0.07450746268656716,0.03,0.351,0.12,0.0,0.0,0.12777142857142856,0.12,0.04,0.26,0.09024,0.0,0.09,0.0
2020-01-26,0.5786181818181818,0.264576,0.6335999999999999,0.18719999999999998,0.0,0.15,0.08,0.19968,0.4992,0.21,0.08681739130434782,0.16,0.15,0.0,0.6624,0.0,0.0,0.20912432432432432,0.06146865671641791,0.03,0.3978,0.11,0.10090212765957446,0.0,0.18125714285714284,0.1,0.04,0.25,0.07296,0.0,0.09,0.0
2020-02-02,0.5218909090909091,0.11980799999999998,0.5568,0.1248,0.0624,0.16,0.07,0.164736,0.5824,0.2,0.09495652173913044,0.16,0.16,0.0,0.5952,0.0,0.0,0.19225945945945946,0.0,0.04,0.37439999999999996,0.1,0.15931914893617022,0.0,0.12182857142857142,0.11,0.03,0.22,0.10368,0.0,0.09,0.0
2020-02-09,0.6013090909090909,0.309504,0.7104,0.094848,0.0,0.18,0.08,0.20467199999999997,0.4908799999999999,0.22,0.1519304347826087,0.16,0.14,0.0,0.624,0.0,0.0,0.1349189189189189,0.06705671641791044,0.03,0.4914,0.1,0.15135319148936172,0.0,0.15154285714285712,0.12,0.03,0.21,0.1248,0.0,0.1,0.0
2020-02-16,0.6013090909090909,0.244608,0.6432,0.17721599999999998,0.0,0.15,0.08,0.194688,0.4908799999999999,0.22,0.10852173913043478,0.19,0.14,0.0,0.6047999999999999,0.0,0.0,0.1349189189189189,0.07264477611940298,0.04,0.3666,0.11,0.18587234042553188,0.0,0.16937142857142856,0.13,0.03,0.24,0.09216,0.0,0.1,0.0
2020-02-23,0.5105454545454545,0.259584,0.5856,0.10233599999999998,0.0,0.16,0.09,0.20467199999999997,0.53248,0.22,0.08953043478260869,0.17,0.14,0.0,0.6432,0.0,0.0,0.11468108108108108,0.07823283582089552,0.04,0.37439999999999996,0.11,0.1327659574468085,0.0,0.1366857142857143,0.13,0.04,0.24,0.09216,0.0,0.1,0.0
2020-03-01,0.5559272727272726,0.229632,0.5952,0.154752,0.0,0.14,0.08,0.129792,0.44095999999999996,0.2,0.1600695652173913,0.17,0.14,0.0,0.5472,0.0,0.0,0.1855135135135135,0.0,0.03,0.3276,0.11,0.13542127659574466,0.0,0.09211428571428572,0.12,0.03,0.21,0.1248,0.0,0.1,0.0
2020-03-08,0.4992,0.17472,0.5952,0.104832,0.0,0.14,0.07,0.16972800000000002,0.5657599999999999,0.19,0.11123478260869564,0.16,0.12,0.06739200000000001,0.5087999999999999,0.0,0.0,0.15515675675675675,0.07450746268656716,0.04,0.2964,0.12,0.12745531914893615,0.0,0.15451428571428572,0.11,0.04,0.2,0.07872,0.0,0.1,0.0
