date,Basketballs,Soccer balls,Tennis rackets,Running shoes,Treadmills,Dumbbells,Yoga mats,Baseball bats,Swim goggles,Hiking boots,Camping tents,Football helmets,Bicycles,Skateboards,Ski equipment,Snowboards,Golf clubs,Cricket bats,Boxing gloves,Fishing rods,Kayaks,Canoes,Paddles,Climbing gear,Water bottles,Gym bags,Sports watches,Exercise bikes,Rowing machines,Weight benches,Resistance bands,Pull-up bars,Ellipticals,Protein powder,Running gear,Swim caps,Soccer cleats,Basketball jerseys,Fitness trackers,Hiking backpacks,Sleeping bags,Camping stoves,Headlamps,Sports sunglasses,Knee pads,Elbow pads,Ski poles,Snowshoes,Life jackets,Tennis balls,Sports uniforms,Baseball gloves,Frisbees,Lacrosse sticks,Squash rackets,Volleyballs,Scuba gear,Archery bows,Sports towels,Ankle weights,Jump ropes,Workout clothes,Fitness mats,Kayak paddles,Trekking poles,Trail running shoes,Compression socks,Skipping ropes,Weightlifting belts,Boxing bags,Paintball guns,Baseball caps,Wrist supports,Fingerless gloves,Water bladders,Athletic tape,Biking helmets,Ski goggles,Paddleboards,Dartboards,Hand wraps,Paragliding kits,Mountain bikes,Gym gloves,Tackle boxes,Cross-trainers,Martial arts gear,Aerobics steps,Shin guards,Hip bags,Cycling jerseys,Longboards,Balance boards,Roller skates,Snow tubes,Arm warmers,Hammocks,Athletic shoes,Tennis grips,Hunting boots,Outdoor grills,Baseball hats,Wrestling shoes,Sports drinks
2020-03-08,0.14,0.09,0.06,2.6956521739130435,0.21,0.6086956521739131,0.08,0.32,0.05,0.5384615384615384,0.1,0.09,0.7021276595744681,0.6901408450704225,0.04,0.21,0.96875,0.1664,0.37,0.29,0.4117647058823529,0.09,0.28,0.09,1.2295081967213115,0.05,0.02,0.07,0.03,0.144,0.2982456140350877,0.0,0.032,1.5925925925925926,0.07,0.03,0.6428571428571429,0.13,0.02127659574468085,0.42432,0.14,0.23462399999999997,0.07,0.45759999999999995,0.26,0.05,0.04,0.07,0.08,0.17,0.5130666666666666,0.27,0.4197818181818182,0.09,0.0,0.38272,0.06,0.05,0.0,0.08,0.5116799999999999,0.27,0.0832,0.0192,0.048,0.15,0.625,0.0,0.14001951219512196,0.23088,0.14,0.13,0.0858,0.06,0.0,0.054400000000000004,0.15253333333333333,0.11,0.01,0.097344,0.832,0.0,0.4067796610169492,0.6933333333333332,0.32301176470588233,0.0,0.0,0.0,0.15,0.09224347826086955,0.2652,0.14,0.15092093023255812,0.42,0.0,0.1688470588235294,0.15,0.22,0.168,0.09,0.06,0.17,0.14,0.05
2020-03-15,0.11,0.1,0.05,2.0434782608695654,0.38,2.6956521739130435,0.13,0.14,0.03,0.41025641025641024,0.09,0.06,0.7021276595744681,0.6901408450704225,0.02,0.13,0.75,0.104,0.27,0.26,0.38235294117647056,0.08,0.25,0.1,0.8360655737704918,0.04,0.02,0.12,0.04,0.5568,0.9824561403508771,0.0,0.0512,1.1481481481481481,0.07,0.01,0.2571428571428571,0.07,0.02127659574468085,0.36607999999999996,0.11,0.259584,0.05,0.2496,0.18,0.04,0.03,0.08,0.07,0.16,0.312,0.15,0.36305454545454546,0.04,0.0,0.2912,0.06,0.04,0.0882731707317073,0.12,0.67392,0.19,0.3143111111111111,0.0192,0.0384,0.12,0.425,0.0,0.0,0.34944,0.12,0.09,0.0,0.05,0.0,0.0256,0.0,0.06,0.01,0.0,0.572,0.0,0.423728813559322,0.45066666666666666,0.3376941176470588,0.0,0.11876129032258065,0.0,0.05,0.0,0.21059999999999998,0.14,0.09577674418604651,0.4,0.0,0.08809411764705882,0.15,0.17,0.096,0.07,0.05,0.12,0.07,0.03
2020-03-22,0.09,0.1,0.05,2.347826086956522,0.42,3.5217391304347827,0.15,0.1,0.03,0.44871794871794873,0.09,0.07,0.8723404255319149,0.8450704225352113,0.02,0.11,0.78125,0.18719999999999998,0.3,0.3,0.47058823529411764,0.09,0.27,0.11,0.7049180327868853,0.03,0.03,0.11,0.05,0.7584,1.7017543859649122,0.0,0.054400000000000004,1.1481481481481481,0.07,0.01,0.21428571428571427,0.09,0.02127659574468085,0.36607999999999996,0.11,0.114816,0.06,0.22879999999999998,0.19,0.03,0.02,0.05,0.08,0.18,0.2704,0.13,0.26094545454545454,0.04,0.0,0.36607999999999996,0.08,0.04,0.0882731707317073,0.16,0.84864,0.26,0.4622222222222222,0.022400000000000003,0.032,0.16,0.475,0.0,0.0,0.46799999999999997,0.12,0.1,0.0,0.06,0.0,0.0192,0.13866666666666666,0.05,0.02,0.19968,0.42639999999999995,0.0,0.6610169491525424,0.1664,0.27896470588235295,0.0,0.09259354838709677,0.0,0.04,0.0976695652173913,0.2652,0.19,0.1799441860465116,0.54,0.01,0.22023529411764703,0.18,0.19,0.09119999999999999,0.09,0.06,0.11,0.07,0.03
2020-03-29,0.1,0.11,0.05,2.782608695652174,0.53,4.3478260869565215,0.15,0.1,0.04,0.46153846153846156,0.1,0.07,1.127659574468085,0.9154929577464789,0.02,0.1,0.71875,0.1664,0.35,0.35,0.6176470588235294,0.11,0.27,0.1,0.7049180327868853,0.03,0.03,0.14,0.06,0.96,1.7543859649122806,0.0,0.054400000000000004,1.4074074074074074,0.07,0.01,0.18571428571428572,0.08,0.02127659574468085,0.3328,0.11,0.17971199999999998,0.05,0.2392,0.19,0.05,0.02,0.05,0.09,0.2,0.22186666666666666,0.12,0.36305454545454546,0.03,0.0,0.30784,0.08,0.05,0.08218536585365854,0.18,1.1356799999999998,0.3,0.36977777777777776,0.0256,0.0352,0.14,0.4625,0.0,0.0,0.5116799999999999,0.1,0.12,0.0,0.06,0.07734084507042252,0.0256,0.18303999999999998,0.06,0.02,0.172224,0.5304,0.0,0.8135593220338984,0.2981333333333333,0.3376941176470588,0.0,0.15700645161290322,0.0,0.04,0.13022608695652174,0.2496,0.2,0.16253023255813953,0.66,0.0,0.16150588235294117,0.2,0.19,0.12,0.11,0.07,0.14,0.07,0.04
2020-04-05,0.09,0.11,0.05,3.260869565217391,0.63,4.043478260869565,0.18,0.11,0.03,0.5,0.11,0.07,1.3829787234042554,1.0422535211267605,0.01,0.11,0.875,0.1456,0.37,0.39,0.8235294117647058,0.11,0.32,0.11,0.8032786885245902,0.03,0.03,0.14,0.06,0.7871999999999999,1.6842105263157894,0.0,0.054400000000000004,1.6296296296296295,0.08,0.01,0.21428571428571427,0.09,0.02127659574468085,0.39104,0.12,0.194688,0.05,0.37439999999999996,0.25,0.05,0.02,0.04,0.11,0.17,0.5269333333333334,0.13,0.40843636363636365,0.04,0.0,0.29951999999999995,0.1,0.05,0.0,0.19,1.2105599999999999,0.37,0.38826666666666665,0.032,0.0384,0.17,0.5,0.0,0.0,0.4992,0.14,0.12,0.0,0.06,0.09491830985915492,0.0256,0.18303999999999998,0.06,0.02,0.154752,0.5512,0.0,0.9661016949152542,0.15253333333333333,0.41110588235294115,0.0,0.0,0.0,0.04,0.0,0.3978,0.3,0.20606511627906976,0.8,0.0,0.17618823529411765,0.29,0.21,0.1248,0.11,0.09,0.15,0.06,0.04
2020-04-12,0.1,0.09,0.04,3.608695652173913,0.7,3.5217391304347827,0.18,0.1,0.03,0.5128205128205128,0.11,0.08,1.5106382978723405,0.9859154929577465,0.01,0.1,0.96875,0.1664,0.34,0.41,0.8529411764705882,0.12,0.33,0.12,0.7540983606557377,0.03,0.02,0.15,0.07,0.8928,1.5087719298245614,0.0,0.054400000000000004,1.7037037037037037,0.08,0.01,0.18571428571428572,0.09,0.0425531914893617,0.36607999999999996,0.13,0.2496,0.06,0.3848,0.26,0.05,0.01,0.03,0.12,0.15,0.43679999999999997,0.12,0.36305454545454546,0.03,0.0,0.36607999999999996,0.08,0.05,0.10349268292682925,0.23,1.2230400000000001,0.43,0.37439999999999996,0.041600000000000005,0.0288,0.17,0.525,0.0,0.0,0.50544,0.14,0.13,0.0,0.07,0.0,0.0288,0.24682666666666667,0.05,0.03,0.22464,0.676,0.0,1.1355932203389831,0.15253333333333333,0.5872941176470589,0.0,0.0,0.0,0.04,0.10309565217391303,0.37439999999999996,0.27,0.24089302325581397,0.78,0.0,0.22757647058823527,0.27,0.25,0.07680000000000001,0.11,0.09,0.16,0.06,0.04
2020-04-19,0.1,0.09,0.05,4.043478260869565,0.55,3.260869565217391,0.2,0.1,0.03,0.6153846153846154,0.15,0.1,1.7659574468085106,1.0140845070422535,0.01,0.09,1.0,0.1768,0.34,0.41,0.9117647058823529,0.13,0.35,0.11,0.8852459016393442,0.03,0.03,0.14,0.05,0.8448,1.3859649122807018,0.0,0.0672,2.074074074074074,0.09,0.01,0.18571428571428572,0.08,0.0425531914893617,0.45759999999999995,0.14,0.194688,0.06,0.39519999999999994,0.3,0.07,0.02,0.03,0.15,0.16,0.4437333333333333,0.11,0.40843636363636365,0.03,0.0,0.35775999999999997,0.07,0.05,0.07305365853658535,0.26,1.1980799999999998,0.46,0.27271111111111107,0.0384,0.0352,0.19,0.5875,0.0,0.0,0.53664,0.14,0.14,0.0702,0.06,0.07909859154929577,0.032,0.19136,0.04,0.03,0.197184,0.6552,0.0,1.271186440677966,0.15253333333333333,0.6166588235294118,0.0,0.06843870967741934,0.0,0.04,0.10309565217391303,0.4836,0.29,0.2031627906976744,0.92,0.0,0.1688470588235294,0.29,0.28,0.0,0.12,0.12,0.15,0.06,0.04
2020-04-26,0.1,0.09,0.05,3.9565217391304346,0.62,2.9565217391304346,0.2,0.1,0.04,0.6282051282051282,0.17,0.08,1.8936170212765957,1.1126760563380282,0.02,0.08,1.1875,0.0832,0.33,0.47,1.4411764705882353,0.16,0.36,0.11,0.8688524590163934,0.03,0.02,0.15,0.05,0.8735999999999999,1.2105263157894737,0.0,0.0608,2.074074074074074,0.08,0.01,0.2,0.09,0.0425531914893617,0.5574399999999999,0.14,0.159744,0.06,0.52,0.31,0.07,0.01,0.03,0.2,0.18,0.2565333333333333,0.12,0.44247272727272724,0.04,0.0,0.2912,0.07,0.05,0.07000975609756098,0.23,1.248,0.46,0.2958222222222222,0.0576,0.048,0.2,0.6,0.0,0.0,0.46176,0.18,0.15,0.0,0.06,0.0,0.032,0.2773333333333333,0.04,0.04,0.164736,0.6968,0.0,1.423728813559322,0.24266666666666664,0.5726117647058823,0.0,0.0,0.0,0.03,0.09224347826086955,0.46799999999999997,0.33,0.17704186046511627,1.2,0.0,0.11011764705882351,0.37,0.26,0.144,0.1,0.13,0.19,0.05,0.04
2020-05-03,0.09,0.09,0.07,4.304347826086956,0.55,2.608695652173913,0.18,0.11,0.04,0.7051282051282052,0.21,0.09,2.106382978723404,1.1971830985915493,0.01,0.08,1.5,0.1768,0.33,0.52,1.7647058823529411,0.17,0.39,0.11,0.9016393442622951,0.03,0.03,0.15,0.05,0.7007999999999999,1.0701754385964912,0.0,0.0576,2.185185185185185,0.09,0.02,0.21428571428571427,0.08,0.0425531914893617,0.64064,0.15,0.254592,0.06,0.5616,0.36,0.08,0.02,0.03,0.26,0.18,0.33973333333333333,0.11,0.39709090909090905,0.03,0.0,0.34944,0.07,0.06,0.09436097560975609,0.23,1.0608,0.45,0.2634666666666667,0.0672,0.048,0.24,0.65,0.0,0.1217560975609756,0.46176,0.17,0.17,0.10139999999999999,0.07,0.13183098591549294,0.041600000000000005,0.21909333333333333,0.04,0.04,0.14476799999999998,0.5928,0.0,1.5932203389830508,0.28426666666666667,0.5872941176470589,0.0,0.0,0.0,0.05,0.1410782608695652,0.585,0.36,0.1306046511627907,1.64,0.0,0.24225882352941175,0.46,0.26,0.144,0.1,0.14,0.2,0.06,0.04
2020-05-10,0.1,0.09,0.06,4.3478260869565215,0.46,2.739130434782609,0.16,0.12,0.05,0.7564102564102564,0.23,0.09,1.9361702127659575,1.2253521126760563,0.01,0.07,1.625,0.1248,0.31,0.53,1.7352941176470589,0.18,0.41,0.12,0.8852459016393442,0.03,0.03,0.15,0.06,0.576,0.9473684210526315,0.0,0.0576,2.0,0.08,0.01,0.2,0.1,0.0425531914893617,0.63232,0.18,0.259584,0.08,0.5408,0.34,0.09,0.02,0.03,0.27,0.2,0.33973333333333333,0.11,0.4992,0.03,0.0,0.35775999999999997,0.08,0.05,0.0,0.19,1.09824,0.42,0.23573333333333332,0.0704,0.0512,0.24,0.65,0.0,0.07305365853658535,0.52416,0.16,0.15,0.0,0.06,0.0,0.0256,0.21631999999999998,0.04,0.05,0.09235199999999999,0.5616,0.0,1.4745762711864407,0.4992,0.6313411764705882,0.0,0.0,0.0,0.05,0.13565217391304346,0.507,0.39,0.15092093023255812,2.0,0.0,0.1468235294117647,0.69,0.26,0.1248,0.09,0.15,0.2,0.06,0.04
