date,Coffee beans,Espresso machine,French press,Coffee mugs,Coffee grinder,Flavored syrups,Latte art,Cold brew kit,Tea leaves,Travel mugs,Coffee filters_x,Espresso cups,Pour-over set,Cappuccino maker,Coffee scoops,To-go cups,Organic coffee,Coffee subscription,Milk frother,Latte cups,Espresso tamper,Single origin coffee,Coffee thermos,Reusable cups,Herbal teas,Cold brew bottles,Green tea,Hot chocolate mix,Chai latte mix,Biscotti,Coffee creamers,Decaf coffee,Espresso powder,Honey sticks,Coffee gifts,Matcha,Pour-over coffee,Coffee tumblers,Coffee stickers,Coffee-themed shirts,Coffee stirrers,Seasonal flavors,Gourmet coffee,Espresso shots,Coffee stencils,Coffee bean bags,Coffee pods,Tisanes,Loose leaf tea,Coffee filters_y,Frothing pitchers,Coffee art supplies,Tea infusers,Coffee flavorings,Coffee sugar,Whipped cream dispensers,Espresso sets,Coffee recipe books,Latte powder,Reusable straws,Compostable cups,Specialty teas,Coffee-themed posters,Travel coffee kits,Coffee carafes,Vintage coffee tins,Green coffee,Coffee grinders,Vanilla syrup,Roasted beans,Coffee canisters,Nitro coffee,Tea strainers,Decaf espresso,Coffee keychains,Chai spices,Iced coffee maker,Coconut milk powder,Espresso machines,Espresso glasses,Local roasts,Oat milk,Chocolate sprinkles,Pumpkin spice mix,Mug warmers,Portable brewers,Vanilla flavoring,Coffee timers,Tea cozies,Coffee table books,Coffee servers,Creamer containers,Raw honey,Latte mix
2019-12-29,0.5918367346938775,0.8125,0.9148936170212766,0.4606741573033708,0.53,0.12719999999999998,0.8055272727272726,0.0,0.17,0.07,0.13,0.09,0.0,0.07,0.6656,0.0,0.12,0.04,0.25,0.3822,0.09984,0.08736,0.05,0.08,0.8509090909090908,0.0,2.838709677419355,0.11,0.13326101694915254,0.3626373626373626,0.36816,0.31,0.05,0.04,0.05,1.2142857142857142,0.0672,0.10210909090909091,0.15883636363636364,0.0,0.12064,0.096,0.6115200000000001,0.06,0.0,0.0,0.3,0.0,0.15,0.13,0.0,0.0,0.0,0.0,0.34,0.11731199999999999,0.0,0.0,0.2713043478260869,0.05,0.12751304347826087,0.0,0.0,0.0,0.0,0.0,0.33,0.5158400000000001,0.1,0.14,0.1753142857142857,0.71136,0.0,0.30419999999999997,0.0,0.0899720930232558,0.04,0.3328,0.07,0.09805714285714286,0.0,0.45569620253164556,0.36305454545454546,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.24,0.24068571428571428
2020-01-05,0.5918367346938775,0.6875,0.7553191489361702,0.42696629213483145,0.42,0.0,0.771490909090909,0.0,0.17,0.07,0.13,0.07,0.0,0.05,0.6448,0.0,0.12,0.05,0.19,0.28859999999999997,0.08112,0.077376,0.07,0.07,0.8849454545454545,0.0,3.161290322580645,0.1,0.09941694915254237,0.3076923076923077,0.46799999999999997,0.3,0.04,0.04,0.05,1.4285714285714286,0.0,0.15127272727272728,0.16734545454545452,0.0,0.10815999999999999,0.15360000000000001,0.5116799999999999,0.06,0.0,0.0,0.26,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.28758260869565216,0.05,0.1600695652173913,0.0,0.0,0.0,0.0,0.0,0.4,0.44095999999999996,0.11,0.15,0.17234285714285713,0.9484799999999999,0.0,0.2808,0.0,0.1422139534883721,0.03,0.3625142857142857,0.06,0.0,0.0,0.6835443037974683,0.36305454545454546,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.26,0.2451428571428571
2020-01-12,0.5306122448979592,0.65625,0.6382978723404256,0.43820224719101125,0.39,0.12719999999999998,0.6920727272727273,0.0,0.17,0.07,0.12,0.06,0.0,0.05,0.4784,0.0,0.12,0.04,0.17,0.3432,0.09984,0.0624,0.06,0.06,0.8849454545454545,0.0,3.0,0.09,0.08037966101694914,0.3076923076923077,0.43056,0.29,0.05,0.05,0.05,1.4642857142857142,0.0,0.17774545454545454,0.16734545454545452,0.0,0.104,0.1344,0.53664,0.06,0.0,0.0,0.23,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.3038608695652174,0.04,0.21704347826086956,0.0,0.0,0.0,0.0,0.0,0.37,0.416,0.1,0.13,0.1426285714285714,0.82368,0.0,0.27299999999999996,0.0,0.1248,0.03,0.3803428571428571,0.05,0.06685714285714285,0.0,0.6962025316455697,0.3403636363636363,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.2496
2020-01-19,0.5816326530612245,0.625,0.7340425531914894,0.42696629213483145,0.4,0.0,0.7487999999999999,0.0,0.17,0.07,0.12,0.07,0.0,0.05,0.5928,0.0,0.13,0.04,0.17,0.37439999999999996,0.06864,0.06739200000000001,0.06,0.06,0.7941818181818181,0.0,3.064516129032258,0.09,0.14806779661016947,0.3076923076923077,0.43679999999999997,0.3,0.05,0.04,0.06,1.5,0.0,0.1474909090909091,0.156,0.0,0.14143999999999998,0.11039999999999998,0.6864,0.06,0.0,0.0,0.26,0.0,0.14,0.12,0.0,0.0,0.0,0.07516363636363636,0.39,0.0,0.0,0.0,0.37439999999999996,0.04,0.20890434782608697,0.0,0.0,0.0,0.0,0.0,0.37,0.39104,0.11,0.13,0.10994285714285713,0.86112,0.0,0.312,0.0,0.1189953488372093,0.04,0.32685714285714285,0.06,0.0,0.0,0.6455696202531646,0.3403636363636363,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.23,0.21394285714285713
2020-01-26,0.5204081632653061,0.5625,0.6382978723404256,0.39325842696629215,0.36,0.108,0.6807272727272726,0.0,0.16,0.06,0.12,0.05,0.0,0.03,0.4784,0.0,0.12,0.04,0.16,0.2652,0.09984,0.064896,0.05,0.05,0.6807272727272726,0.0,2.6451612903225805,0.07,0.06980338983050846,0.27472527472527475,0.42432,0.29,0.05,0.03,0.05,1.3214285714285714,0.0,0.1248,0.14181818181818182,0.0,0.07904,0.1296,0.4992,0.06,0.0,0.0,0.22,0.07644000000000001,0.11,0.12,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.3038608695652174,0.04,0.22246956521739128,0.0,0.0,0.0,0.08486400000000001,0.0,0.35,0.34944,0.09,0.12,0.104,0.91104,0.0,0.21839999999999998,0.0,0.10448372093023256,0.03,0.30902857142857143,0.05,0.0,0.0,0.6582278481012658,0.3403636363636363,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.21,0.16045714285714285
2020-02-02,0.5306122448979592,0.5625,0.6276595744680851,0.4044943820224719,0.36,0.09359999999999999,0.7487999999999999,0.0,0.14,0.07,0.11,0.06,0.0,0.04,0.45759999999999995,0.0,0.13,0.04,0.14,0.21059999999999998,0.09359999999999999,0.0,0.05,0.06,0.5332363636363636,0.0,2.5806451612903225,0.07,0.0,0.2857142857142857,0.31823999999999997,0.27,0.04,0.04,0.07,1.4285714285714286,0.0,0.17774545454545454,0.11629090909090908,0.0,0.13728,0.11039999999999998,0.53664,0.05,0.0,0.0,0.21,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.2930086956521739,0.04,0.18991304347826088,0.0,0.0,0.0,0.0,0.0,0.33,0.38272,0.09,0.11,0.1248,0.84864,0.0,0.2418,0.0,0.1073860465116279,0.03,0.2496,0.04,0.0,0.0,0.6455696202531646,0.4197818181818182,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.19165714285714286
2020-02-09,0.5612244897959183,0.625,0.6702127659574468,0.4157303370786517,0.38,0.1008,0.7828363636363636,0.06843870967741934,0.16,0.07,0.11,0.05,0.0,0.06,0.4784,0.0,0.12,0.04,0.15,0.25739999999999996,0.08736,0.122304,0.05,0.06,0.6126545454545455,0.0,2.6451612903225805,0.06,0.09307118644067797,0.2857142857142857,0.37439999999999996,0.29,0.06,0.04,0.08,1.3571428571428572,0.072,0.0,0.18436363636363637,0.0,0.11232,0.1248,0.5616,0.06,0.0,0.0,0.21,0.0,0.13,0.11,0.0,0.0,0.0624,0.0,0.37,0.0,0.0,0.0,0.3038608695652174,0.03,0.18719999999999998,0.0,0.0,0.0,0.0,0.0,0.34,0.42432,0.1,0.12,0.0832,0.8860799999999999,0.08736,0.23399999999999999,0.0,0.08706976744186046,0.03,0.30308571428571424,0.05,0.1248,0.0,0.620253164556962,0.624,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.2273142857142857
2020-02-16,0.5510204081632653,0.59375,0.6595744680851063,0.3707865168539326,0.37,0.1224,0.7487999999999999,0.0,0.17,0.06,0.12,0.06,0.0,0.05,0.48879999999999996,0.0,0.14,0.04,0.14,0.3354,0.07487999999999999,0.09235199999999999,0.05,0.06,0.624,0.0,2.806451612903226,0.05,0.07826440677966101,0.2857142857142857,0.35568,0.27,0.04,0.04,0.05,1.5357142857142858,0.0,0.09454545454545454,0.18436363636363637,0.0,0.12896000000000002,0.096,0.52416,0.07,0.0,0.0,0.21,0.11232,0.11,0.12,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.4340869565217391,0.04,0.21975652173913043,0.0,0.0,0.0,0.0,0.0,0.34,0.4908799999999999,0.09,0.11,0.1129142857142857,0.91104,0.0,0.351,0.0,0.11609302325581394,0.03,0.3209142857142857,0.06,0.0,0.0,0.7215189873417721,0.37439999999999996,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.21,0.19165714285714286
2020-02-23,0.5102040816326531,0.5625,0.5957446808510638,0.38202247191011235,0.35,0.09839999999999999,0.6013090909090909,0.0,0.17,0.06,0.1,0.05,0.0,0.04,0.45759999999999995,0.063648,0.12,0.15,0.13,0.3354,0.08112,0.122304,0.05,0.06,0.6693818181818181,0.0,2.935483870967742,0.05,0.07614915254237288,0.2857142857142857,0.34944,0.27,0.04,0.04,0.05,2.107142857142857,0.0,0.12858181818181819,0.15316363636363636,0.0,0.104,0.1008,0.42432,0.07,0.0,0.0,0.2,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.3038608695652174,0.03,0.1709217391304348,0.061152,0.0,0.0,0.061152,0.0,0.35,0.3328,0.1,0.11,0.10102857142857143,0.82368,0.0,0.27299999999999996,0.0,0.1073860465116279,0.03,0.2258285714285714,0.05,0.0,0.0,0.7341772151898734,0.4538181818181818,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.19165714285714286
2020-03-01,0.5102040816326531,0.53125,0.6063829787234043,0.3595505617977528,0.35,0.12,0.6353454545454545,0.0,0.16,0.05,0.12,0.05,0.0,0.03,0.48879999999999996,0.0,0.12,0.16,0.15,0.27299999999999996,0.1248,0.07487999999999999,0.05,0.08,0.6466909090909091,0.0,2.870967741935484,0.04,0.08461016949152542,0.25274725274725274,0.35568,0.26,0.04,0.04,0.05,3.392857142857143,0.0,0.1474909090909091,0.1786909090909091,0.0,0.10815999999999999,0.1248,0.46176,0.06,0.0,0.0,0.2,0.0,0.09,0.12,0.0,0.0,0.0,0.08650909090909091,0.33,0.0,0.0,0.0,0.4992,0.03,0.1844869565217391,0.0,0.0,0.0,0.0,0.0,0.33,0.37439999999999996,0.1,0.11,0.0,0.8111999999999999,0.0,0.21839999999999998,0.0,0.1073860465116279,0.03,0.2733714285714286,0.04,0.09805714285714286,0.0,0.7721518987341772,0.36305454545454546,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.08112,0.25,0.18719999999999998
