date,Reusable bags,Bamboo cutlery,Cloth napkins,Glass bottles,Stainless steel bottles,Reusable water bottles,Organic cotton,Bamboo toothbrushes,Biodegradable soap,Compostable bags,Eco-friendly cleaning products,Organic skincare,Bamboo hairbrush,Sustainable fashion,Eco-friendly candles,Reusable makeup pads,Natural deodorant,Zero waste kits,Cloth diapers,Beeswax wraps,Compost bins,Natural sponges,Reusable razors,Eco-friendly toys,Recycled notebooks,Upcycled jewelry,Glass straws,Refillable bottles,Recycled paper,Reusable snack bags,Plant-based shampoo,Vegan skincare,Fair trade coffee,Organic cotton towels,Hemp bags,Coconut bowls,Biodegradable phone case,Solar chargers,Organic cotton sheets,Sustainable backpacks,Reusable produce bags,Cork products,Vegan candles_x,Reusable chopsticks,Non-toxic cleaning,Metal straws,Eco-friendly lunch box,Organic cotton shirts,Compost tea bags,Wool dryer balls,Natural sunscreen,Reusable coffee filters,Zero waste makeup,Charcoal toothbrushes,Coconut oil,Organic bath salts,Recycled wrapping paper,Vegan soap,Organic lip balm,Plant-based protein,Vegan candles_y,Eco-friendly planners,Organic hand soap,Metal bento boxes,Recycled plastic rugs,Hemp socks,Glass food containers,Organic spices,Eco-friendly razors,Organic dish cloths,Natural hair care,Biodegradable dog bags,Recycled yoga mats,Wool slippers,Compostable plates,Compostable utensils,Bamboo steamers,Organic produce,Biodegradable glitter,Glass jars,Stainless steel straws,Wooden phone cases,Organic face masks,Sustainable sunglasses,Solar lanterns,Plantable pencils,Organic teas,Plant-based candles,Cotton buds,Plant milk bags,Bamboo blankets,Vegan nail polish,Biodegradable shampoo,Eco-friendly journals
2019-12-29,0.36,0.08432432432432432,0.09,0.41,0.36126315789473684,0.02,0.17,0.0,0.01,0.4992,0.0,0.40768,0.0,0.37439999999999996,0.0,0.11845423728813559,0.18,0.0,0.23,0.25739999999999996,0.2418,0.0,0.0,0.0,0.0,0.0,0.30239999999999995,0.14166486486486485,0.07,0.09615737704918031,0.0,0.1529806451612903,0.264,0.0,0.13154594594594593,0.15946666666666665,0.0,0.23462399999999997,0.21839999999999998,0.0,0.6568421052631579,0.0,0.1272470588235294,0.12858181818181819,0.0,1.0891636363636363,0.0,0.0,0.0,1.0891636363636363,0.02,0.0944,0.11107199999999999,0.0,2.769230769230769,0.0,0.0919578947368421,0.2777806451612903,0.1248,0.22757647058823527,0.1272470588235294,0.0,0.0,0.0,0.0,0.0,0.6126545454545455,0.21216,0.0,0.0,0.9643636363636363,0.1290067415730337,0.0,0.04,0.0,0.0,0.0,0.04,0.14174814814814812,0.24,0.20394146341463412,0.0,0.0,0.0,0.02,0.0,0.16564363636363638,0.0,0.078,0.0,0.0,0.14915121951219512,0.0,0.0
2020-01-05,0.35,0.08769729729729729,0.06,0.39,0.3152842105263158,0.02,0.18,0.0,0.01,0.5574399999999999,0.0,0.31616,0.0,0.42639999999999995,0.0,0.13326101694915254,0.17,0.0,0.24,0.31589999999999996,0.22619999999999998,0.07386122448979592,0.0,0.0,0.0,0.0,0.2016,0.10456216216216216,0.09,0.08797377049180327,0.0,0.23349677419354836,0.39840000000000003,0.0,0.16358918918918916,0.208,0.0,0.18470399999999998,0.2652,0.0,0.5583157894736842,0.0,0.0,0.10210909090909091,0.0,1.1345454545454545,0.0,0.0,0.0,0.9530181818181818,0.02,0.0,0.079872,0.0,2.730769230769231,0.0,0.0,0.23349677419354836,0.3038608695652174,0.1468235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.24543999999999996,0.0,0.0,0.8282181818181819,0.09815730337078651,0.0,0.02,0.11142857142857143,0.14181818181818182,0.0,0.06,0.11555555555555555,0.23,0.304390243902439,0.0,0.0,0.0,0.02,0.0,0.15656727272727272,0.0,0.11142857142857143,0.0,0.0,0.1521951219512195,0.0,0.0
2020-01-12,0.32,0.09444324324324324,0.06,0.4,0.36126315789473684,0.03,0.18,0.0,0.01,0.5657599999999999,0.0,0.29951999999999995,0.0,0.48879999999999996,0.0,0.09730169491525424,0.17,0.0,0.27,0.2379,0.22619999999999998,0.08404897959183673,0.0,0.0,0.0,0.0,0.2784,0.18214054054054052,0.07,0.14321311475409834,0.0,0.17310967741935485,0.36,0.09577674418604651,0.1500972972972973,0.1733333333333333,0.08410434782608696,0.259584,0.26,0.0,0.6568421052631579,0.0,0.09298823529411765,0.07563636363636364,0.0,1.0097454545454545,0.0,0.10153220338983052,0.0,0.8168727272727273,0.02,0.0,0.0,0.0,2.6923076923076925,0.0,0.0,0.30998709677419356,0.20076521739130435,0.1468235294117647,0.09298823529411765,0.0,0.0,0.0,0.0,0.0,0.5445818181818182,0.20384,0.0,0.0,0.7601454545454545,0.09535280898876404,0.0,0.03,0.1493142857142857,0.0,0.0,0.06,0.1479111111111111,0.27,0.23438048780487802,0.0,0.0,0.0,0.01,0.0,0.17018181818181816,0.0,0.08691428571428571,0.0,0.0,0.1217560975609756,0.0,0.0
2020-01-19,0.31,0.0,0.06,0.37,0.3481263157894736,0.03,0.17,0.0,0.01,0.5408,0.0,0.32448,0.0,0.572,0.0,0.09095593220338982,0.17,0.0,0.24,0.23399999999999999,0.2418,0.12225306122448978,0.0,0.0,0.0,0.0,0.28319999999999995,0.15515675675675675,0.08,0.11252459016393442,0.0,0.20934193548387098,0.3216,0.0,0.1619027027027027,0.1664,0.0,0.154752,0.2236,0.0,0.6042947368421052,0.0,0.08075294117647058,0.0,0.0,0.9530181818181818,0.0,0.0,0.0,0.896290909090909,0.04,0.0,0.077376,0.0,2.8846153846153846,0.0,0.0,0.2858322580645161,0.2713043478260869,0.17618823529411765,0.08075294117647058,0.0,0.0,0.0,0.0,0.0,0.4538181818181818,0.20384,0.0,0.0,0.7487999999999999,0.08974382022471909,0.0,0.02,0.1470857142857143,0.0,0.0,0.07,0.07703703703703703,0.27,0.25568780487804876,0.0,0.0,0.07815757575757576,0.02,0.0,0.19060363636363636,0.0,0.12034285714285714,0.0,0.0,0.15828292682926828,0.07516363636363636,0.0
2020-01-26,0.27,0.10793513513513514,0.06,0.35,0.40067368421052635,0.03,0.16,0.09235199999999999,0.0,0.52416,0.0,0.29951999999999995,0.0,0.5616,0.0,0.11422372881355931,0.16,0.0,0.22,0.1482,0.20279999999999998,0.137534693877551,0.0,0.0,0.0,0.0,0.2016,0.09444324324324324,0.07,0.1513967213114754,0.0,0.10467096774193549,0.432,0.0,0.1349189189189189,0.18026666666666666,0.07325217391304348,0.17971199999999998,0.20279999999999998,0.0,0.45978947368421047,0.0,0.08564705882352941,0.0,0.0,0.9189818181818181,0.0,0.0,0.0,0.6466909090909091,0.03,0.0,0.0,0.07602758620689655,2.5384615384615383,0.0,0.0,0.34219354838709676,0.1519304347826087,0.22757647058823527,0.08564705882352941,0.0,0.0,0.0,0.0,0.0,0.44247272727272724,0.104,0.0,0.07487999999999999,0.7487999999999999,0.07992808988764044,0.0,0.02,0.12034285714285714,0.0,0.0,0.07,0.0,0.23,0.17350243902439022,0.0,0.0,0.0,0.02,0.0,0.15656727272727272,0.0,0.0,0.0,0.0,0.15828292682926828,0.0,0.0
2020-02-02,0.23,0.0,0.05,0.35,0.2561684210526316,0.02,0.16,0.0,0.01,0.5408,0.0,0.29951999999999995,0.0,0.5824,0.0,0.09941694915254237,0.16,0.0,0.21,0.1482,0.25739999999999996,0.07895510204081632,0.0,0.0,0.0,0.0,0.1392,0.1585297297297297,0.08,0.08592786885245901,0.0,0.21739354838709676,0.36479999999999996,0.0,0.1484108108108108,0.1456,0.0,0.17971199999999998,0.1508,0.0,0.3875368421052631,0.0,0.0,0.08887272727272727,0.0,0.7374545454545455,0.0,0.10999322033898304,0.0,0.7941818181818181,0.03,0.0,0.0,0.0,2.6153846153846154,0.0,0.0,0.18518709677419354,0.17906086956521738,0.17618823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.4992,0.208,0.0,0.0,0.7941818181818181,0.10096179775280899,0.0,0.02,0.1314857142857143,0.0,0.0,0.08,0.11093333333333333,0.22,0.2191609756097561,0.0,0.0,0.0,0.02,0.0,0.15202909090909092,0.0,0.0,0.0,0.0,0.14001951219512196,0.0,0.0
2020-02-09,0.27,0.09444324324324324,0.06,0.37,0.2693052631578947,0.02,0.17,0.0,0.01,0.40768,0.0,0.34944,0.0,0.676,0.0,0.07403389830508474,0.15,0.0,0.22,0.1833,0.2418,0.10442448979591837,0.0,0.0,0.0,0.0,0.1488,0.1349189189189189,0.07,0.10638688524590163,0.0,0.1690838709677419,0.44159999999999994,0.0,0.11974054054054054,0.104,0.09631304347826086,0.259584,0.18719999999999998,0.0,0.40067368421052635,0.08914285714285713,0.0,0.0,0.0,0.8622545454545454,0.0,0.0,0.0,0.6580363636363635,0.03,0.0,0.0,0.0,2.6153846153846154,0.0,0.0,0.2697290322580645,0.17363478260869564,0.16150588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.48785454545454543,0.19968,0.0,0.0,0.896290909090909,0.0,0.0,0.01,0.1582285714285714,0.0,0.0,0.07,0.09706666666666666,0.23,0.23438048780487802,0.0,0.0,0.0,0.02,0.0,0.12026181818181818,0.0,0.08468571428571428,0.0,0.0,0.1552390243902439,0.0,0.0
2020-02-16,0.31,0.0,0.06,0.39,0.2758736842105263,0.02,0.16,0.08736,0.01,0.3328,0.0,0.31616,0.0,0.6136,0.0,0.08461016949152542,0.18,0.0,0.22,0.1404,0.28859999999999997,0.0713142857142857,0.0,0.0,0.0,0.0,0.2256,0.13154594594594593,0.08,0.09820327868852459,0.0,0.19726451612903223,0.4224,0.0,0.15178378378378377,0.13866666666666666,0.0,0.21964799999999998,0.13,0.07204948453608247,0.4663578947368421,0.0,0.0,0.0,0.0,0.771490909090909,0.0,0.08672542372881356,0.0,0.9757090909090909,0.03,0.0,0.0,0.0,2.6153846153846154,0.0,0.0,0.28985806451612905,0.16278260869565217,0.18352941176470589,0.0,0.0,0.10229508196721311,0.0,0.0,0.0,0.4311272727272727,0.18719999999999998,0.0,0.0,0.8509090909090908,0.08553707865168539,0.0,0.02,0.10919999999999999,0.0,0.0,0.09,0.10785185185185184,0.27,0.2496,0.0,0.0,0.0,0.02,0.0,0.15883636363636364,0.0,0.08914285714285713,0.0,0.0,0.22829268292682928,0.0,0.0
2020-02-23,0.37,0.0,0.06,0.39,0.37439999999999996,0.03,0.16,0.07113599999999999,0.0,0.48256,0.0,0.30784,0.0,0.6864,0.0,0.06768813559322033,0.18,0.0,0.22,0.1989,0.37439999999999996,0.10187755102040816,0.0,0.0,0.0,0.0,0.1488,0.1484108108108108,0.08,0.11457049180327869,0.0,0.19323870967741935,0.39840000000000003,0.0,0.12311351351351352,0.13173333333333334,0.0,0.254592,0.1196,0.0,0.40067368421052635,0.07577142857142856,0.0,0.0,0.0,0.7601454545454545,0.0,0.09730169491525424,0.0,0.8735999999999999,0.03,0.0,0.0,0.0,2.576923076923077,0.0,0.0,0.22141935483870967,0.1248,0.16150588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.39709090909090905,0.13728,0.0,0.0,0.8168727272727273,0.08974382022471909,0.0,0.02,0.13817142857142858,0.0,0.0,0.08,0.08628148148148147,0.23,0.14306341463414632,0.0,0.0,0.0,0.02,0.0,0.14975999999999998,0.0,0.1470857142857143,0.0,0.0,0.2769951219512195,0.0,0.0
2020-03-01,0.39,0.09107027027027026,0.05,0.37,0.3678315789473684,0.03,0.15,0.07363199999999999,0.01,0.59072,0.0,0.2912,0.0,0.6032,0.0,0.0,0.16,0.0,0.2,0.20279999999999998,0.312,0.07640816326530613,0.0,0.0,0.0,0.0,0.17279999999999998,0.21587027027027028,0.08,0.08592786885245901,0.0,0.10467096774193549,0.3792,0.0,0.11468108108108108,0.15253333333333333,0.0,0.19968,0.1352,0.0,0.49263157894736836,0.0,0.09543529411764705,0.0,0.0,0.7487999999999999,0.0,0.07826440677966101,0.0,0.8055272727272726,0.03,0.0,0.076128,0.0,2.3846153846153846,0.0,0.0,0.18116129032258063,0.18991304347826088,0.13948235294117647,0.09543529411764705,0.0,0.08592786885245901,0.0,0.0,0.0,0.46516363636363633,0.14975999999999998,0.0,0.0,0.8395636363636364,0.09815730337078651,0.0,0.01,0.09137142857142856,0.0,0.0,0.07,0.08165925925925926,0.22,0.20394146341463412,0.0,0.0,0.0,0.02,0.0,0.2064872727272727,0.0,0.1426285714285714,0.0,0.0,0.304390243902439,0.0,0.0
