date,Hiking boots,Camping tents,Sleeping bags_x,Water bottles,Camping chairs,Trekking poles,Flashlights,Backpacks,Camp stoves,Tents,First aid kits,Pocket knives,GPS devices,Camping cookware,Maps,Water filters_x,Portable grills,Solar chargers,Headlamps,Climbing gear,Hiking socks,Bug repellent,Outdoor blankets,Trail snacks,Fire starters,Binoculars,Insulated jackets,Base layers,Hiking pants,Fleece jackets,Snow shoes,Camping showers,Waterproof bags,Camping towels,Hiking hats,Climbing gloves,Hydration packs,Hammocks,Sleeping pads,Waterproof pants,Ice axes,Tent stakes,Sun hats,Multi-tools,Thermal socks,Camp beds,Bike helmets,Camping mugs,Tent repair,Snow gear,Adventure kits,Emergency blankets,Camping lanterns,Cooking sets,Sunglasses,Camping pillows,Bear spray,Trail maps,Compression bags,Gaiters,Outdoor gloves,Portable speakers,Hiking gloves,Hydration bottles,Field guides,Hiking belts,Climbing ropes,Outdoor knives,Trail guides,Sleeping bags_y,Lightweight jackets,Hiking sticks,Sunblock,Portable fire pits,Emergency flares,Inflatable mats,Snow poles,Down jackets,Ropes,Ice grips,Camp showers,Trail mix,Sun shirts,GPS watches,Camp ovens,Down sleeping,Neck gaiters,Cooking grills,Freeze-dried food,Personal locators,Trail runners,Survival kits,Water filters_y,Thermals,Solar panels,Snow chains,Hiking headlamps,Hammock straps,Cooler bags,Sleeping bags}
2019-12-29,0.9047619047619048,0.08,0.15,0.8615384615384616,0.04,0.6864,0.18,1.3636363636363635,0.19066666666666665,0.7837837837837838,0.40067368421052635,0.18,0.41238260869565213,0.15392,113.62193175975602,0.37,0.15154285714285712,0.1895111111111111,0.09,0.11,0.05,0.06,0.0,0.08126511627906977,0.05,0.7183098591549296,0.312,0.04,0.12,0.06,0.29,0.12017777777777777,0.4546285714285714,0.0,0.08522926829268293,0.1638,0.15154285714285712,0.13,0.2912,0.12,0.0,0.2964,0.04,0.0,0.04,0.10919999999999999,0.11,0.0,0.18422857142857144,0.2,0.12826666666666664,0.0,0.07765333333333332,0.20362105263157892,15.74703955656337,0.0,0.06,0.14,0.2773333333333333,0.09,0.4197818181818182,0.1,0.09508571428571427,0.0,0.11309999999999999,0.0,0.19908571428571428,0.22789565217391303,0.0,0.15,0.4037647058823529,0.26956800000000003,0.06,0.0,0.082368,0.0,0.14921739130434783,0.1,0.59,0.17279999999999998,0.0,0.18,0.02,0.5304,0.0,0.11,0.01,0.16177777777777777,0.0,0.0,0.40768,0.02,0.37,0.1,1.0,0.46774193548387094,0.0,0.1664,0.02,0.15
2020-01-05,0.6428571428571429,0.09,0.16,0.9384615384615385,0.03,0.58656,0.17,1.5454545454545454,0.11786666666666666,0.8918918918918919,0.420378947368421,0.15,0.4883478260869565,0.09984,139.22687412815176,0.36,0.1961142857142857,0.16177777777777777,0.08,0.1,0.04,0.05,0.0,0.20896744186046512,0.05,0.647887323943662,0.2674285714285714,0.04,0.13,0.06,0.21,0.11093333333333333,0.41897142857142855,0.0,0.0,0.1326,0.1426285714285714,0.13,0.2981333333333333,0.1,0.0,0.2496,0.06,0.0,0.03,0.09013333333333333,0.09,0.11118545454545453,0.13074285714285713,0.15,0.12133333333333332,0.0,0.0,0.14450526315789475,15.74703955656337,0.0,0.06,0.14,0.208,0.07,0.3063272727272727,0.08,0.0,0.0,0.1326,0.0,0.20502857142857142,0.20619130434782607,0.0,0.16,0.38908235294117643,0.14476799999999998,0.07,0.0,0.063648,0.0,0.10852173913043478,0.09,0.62,0.1152,0.0962,0.25,0.03,0.3588,0.0,0.11,0.01,0.06471111111111111,0.0,0.0,0.35775999999999997,0.03,0.36,0.11,1.1538461538461537,0.3548387096774194,0.0,0.09984,0.02,0.16
2020-01-12,0.6666666666666666,0.09,0.15,0.9692307692307692,0.04,0.624,0.18,1.4545454545454546,0.1248,0.8378378378378378,0.5254736842105263,0.15,0.4612173913043478,0.11232,140.8271830261765,0.34,0.16937142857142856,0.22186666666666666,0.09,0.1,0.04,0.05,0.05872941176470588,0.18574883720930233,0.04,0.6056338028169014,0.2496,0.03,0.11,0.05,0.24,0.15715555555555555,0.37439999999999996,0.0,0.0,0.1326,0.1426285714285714,0.13,0.2565333333333333,0.1,0.0,0.23399999999999999,0.05,0.0,0.03,0.09359999999999999,0.09,0.09984,0.16045714285714285,0.17,0.0,0.0,0.0,0.17734736842105261,15.74703955656337,0.0,0.06,0.12,0.18026666666666666,0.07,0.48785454545454543,0.08,0.1366857142857143,0.0,0.11699999999999999,0.0,0.17828571428571427,0.1844869565217391,0.0,0.15,0.3817411764705882,0.16972800000000002,0.07,0.0,0.0,0.0,0.09224347826086955,0.09,0.65,0.15360000000000001,0.0,0.27,0.03,0.3978,0.0,0.1,0.0,0.12017777777777777,0.0,0.0,0.32448,0.02,0.34,0.09,1.205128205128205,0.4032258064516129,0.0,0.0,0.02,0.15
2020-01-19,0.6904761904761905,0.09,0.14,0.9384615384615385,0.04,0.52416,0.16,1.4545454545454546,0.09013333333333333,0.8918918918918919,0.47949473684210525,0.14,0.4286608695652174,0.13728,139.22687412815176,0.39,0.18719999999999998,0.18488888888888888,0.08,0.11,0.04,0.06,0.07708235294117648,0.1189953488372093,0.03,0.5774647887323944,0.30308571428571424,0.04,0.11,0.05,0.22,0.12017777777777777,0.42788571428571426,0.0,0.0,0.1677,0.1426285714285714,0.14,0.30506666666666665,0.09,0.0,0.22619999999999998,0.07,0.0,0.03,0.0728,0.09,0.09984,0.1426285714285714,0.14,0.10226666666666666,0.0,0.0,0.1248,15.74703955656337,0.0,0.06,0.13,0.15946666666666665,0.08,0.39709090909090905,0.08,0.10697142857142856,0.0,0.14429999999999998,0.079872,0.19017142857142855,0.18991304347826088,0.0,0.14,0.469835294117647,0.159744,0.08,0.0,0.0,0.0,0.1248,0.1,0.61,0.17279999999999998,0.09359999999999999,0.25,0.03,0.40559999999999996,0.0,0.11,0.01,0.09706666666666666,0.0,0.0,0.42432,0.02,0.39,0.11,1.0512820512820513,0.1774193548387097,0.0,0.07487999999999999,0.02,0.14
2020-01-26,0.5714285714285714,0.08,0.14,0.9384615384615385,0.04,0.53664,0.15,1.2727272727272727,0.15946666666666665,0.8648648648648649,0.578021052631579,0.14,0.37982608695652176,0.09151999999999999,140.8271830261765,0.33,0.20502857142857142,0.16177777777777777,0.06,0.11,0.04,0.05,0.0624,0.23218604651162789,0.03,0.5633802816901409,0.24068571428571428,0.03,0.1,0.05,0.15,0.09706666666666666,0.3833142857142857,0.0,0.11262439024390243,0.11699999999999999,0.1337142857142857,0.13,0.2496,0.07,0.0,0.1716,0.06,0.0,0.02,0.0728,0.09,0.07941818181818182,0.14857142857142858,0.08,0.07453333333333333,0.0,0.06933333333333333,0.13793684210526316,14.43478626018309,0.0,0.06,0.13,0.18719999999999998,0.07,0.26094545454545454,0.07,0.0832,0.0,0.1716,0.0,0.17828571428571427,0.1248,0.0,0.14,0.27162352941176465,0.14476799999999998,0.08,0.06774857142857142,0.07113599999999999,0.0,0.08410434782608696,0.06,0.58,0.09919999999999998,0.10919999999999999,0.27,0.03,0.3354,0.0,0.1,0.0,0.11093333333333333,0.0,0.0,0.34112,0.02,0.33,0.06,1.0,0.0967741935483871,0.0,0.09151999999999999,0.03,0.14
2020-02-02,0.6071428571428571,0.08,0.14,0.8615384615384616,0.04,0.5616,0.16,1.2727272727272727,0.18719999999999998,0.8108108108108109,0.39410526315789474,0.13,0.5154782608695652,0.09984,142.42749192420123,0.33,0.17828571428571427,0.15253333333333333,0.07,0.11,0.04,0.04,0.0,0.12189767441860463,0.03,0.5633802816901409,0.18719999999999998,0.02,0.11,0.05,0.16,0.1664,0.3387428571428571,0.0,0.06392195121951219,0.0819,0.16045714285714285,0.14,0.18026666666666666,0.07,0.06807272727272727,0.23399999999999999,0.06,0.0,0.02,0.0,0.1,0.0771490909090909,0.10697142857142856,0.1,0.0728,0.07434893617021276,0.0,0.10509473684210525,15.74703955656337,0.0,0.04,0.13,0.20106666666666667,0.06,0.28363636363636363,0.08,0.10102857142857143,0.0,0.1248,0.0,0.16342857142857142,0.1953391304347826,0.0,0.14,0.2936470588235294,0.17472,0.08,0.0,0.0,0.0,0.1248,0.06,0.62,0.15360000000000001,0.0962,0.26,0.03,0.351,0.0,0.1,0.0,0.14328888888888888,0.0,0.0,0.42432,0.02,0.33,0.07,1.1282051282051282,0.16129032258064516,0.0,0.06656,0.02,0.14
2020-02-09,0.6071428571428571,0.09,0.15,0.9230769230769231,0.04,0.5616,0.16,1.2727272727272727,0.10746666666666667,0.8918918918918919,0.4663578947368421,0.15,0.41780869565217393,0.15808,147.22841861827544,0.31,0.17828571428571427,0.22186666666666666,0.07,0.11,0.05,0.05,0.0,0.17413953488372091,0.03,0.6056338028169014,0.1426285714285714,0.03,0.11,0.05,0.16,0.09706666666666666,0.41897142857142855,0.0,0.07609756097560975,0.10529999999999999,0.1248,0.14,0.24266666666666664,0.08,0.0,0.19499999999999998,0.07,0.0,0.02,0.0676,0.1,0.10210909090909091,0.10697142857142856,0.09,0.0,0.0,0.06933333333333333,0.17734736842105261,15.74703955656337,0.0,0.05,0.15,0.15253333333333333,0.08,0.28363636363636363,0.08,0.07725714285714286,0.0,0.15209999999999999,0.0,0.1664,0.13565217391304346,0.06582857142857143,0.15,0.2936470588235294,0.14476799999999998,0.09,0.0,0.0624,0.0,0.0976695652173913,0.07,0.64,0.09919999999999998,0.065,0.25,0.03,0.3276,0.0,0.11,0.0,0.13404444444444444,0.0,0.0,0.34112,0.03,0.31,0.07,1.1538461538461537,0.12903225806451613,0.0,0.09984,0.03,0.15
2020-02-16,0.6666666666666666,0.1,0.15,0.9230769230769231,0.05,0.69888,0.17,1.3636363636363635,0.156,0.972972972972973,0.5386105263157894,0.13,0.4612173913043478,0.12064,144.02780082222597,0.36,0.16937142857142856,0.19413333333333332,0.07,0.1,0.04,0.06,0.0,0.18865116279069766,0.03,0.5633802816901409,0.23177142857142857,0.03,0.13,0.05,0.14,0.13404444444444444,0.4724571428571428,0.0,0.08522926829268293,0.1794,0.16045714285714285,0.15,0.30506666666666665,0.08,0.0,0.22619999999999998,0.09,0.0,0.01,0.07973333333333332,0.11,0.08395636363636363,0.10102857142857143,0.08,0.09013333333333333,0.0,0.0,0.19048421052631578,18.371546149323933,0.0,0.1,0.15,0.1733333333333333,0.06,0.2722909090909091,0.08,0.0713142857142857,0.0,0.1209,0.0,0.2912,0.13022608695652174,0.10011428571428571,0.15,0.4037647058823529,0.189696,0.11,0.0,0.0,0.0,0.16278260869565217,0.07,0.66,0.0,0.104,0.26,0.05,0.43679999999999997,0.0,0.11,0.0,0.14328888888888888,0.07296,0.0,0.47423999999999994,0.03,0.36,0.07,1.1282051282051282,0.11290322580645161,0.0,0.10815999999999999,0.02,0.15
2020-02-23,0.6190476190476191,0.11,0.15,0.9692307692307692,0.05,0.5990399999999999,0.17,1.2727272727272727,0.12133333333333332,0.8648648648648649,0.5386105263157894,0.14,0.352695652173913,0.14143999999999998,144.02780082222597,0.37,0.18719999999999998,0.25884444444444443,0.07,0.09,0.04,0.06,0.0,0.15672558139534884,0.04,0.5492957746478874,0.17828571428571427,0.03,0.12,0.04,0.11,0.12942222222222222,0.3922285714285714,0.0,0.10044878048780488,0.078,0.12925714285714288,0.14,0.312,0.07,0.0,0.25739999999999996,0.09,0.0,0.02,0.06066666666666666,0.13,0.07034181818181817,0.1426285714285714,0.07,0.09013333333333333,0.0,0.10815999999999999,0.16421052631578947,18.371546149323933,0.0,0.07,0.15,0.15946666666666665,0.07,0.2722909090909091,0.08,0.12182857142857142,0.0,0.1209,0.0,0.20205714285714285,0.11394782608695651,0.061714285714285715,0.15,0.34503529411764705,0.194688,0.1,0.0,0.0,0.0,0.06782608695652173,0.05,0.65,0.0736,0.104,0.25,0.04,0.37439999999999996,0.0,0.1,0.01,0.14328888888888888,0.10944,0.0,0.45759999999999995,0.08,0.37,0.05,1.1794871794871795,0.08064516129032258,0.0,0.10815999999999999,0.02,0.15
2020-03-01,0.5952380952380952,0.1,0.14,1.0,0.05,0.624,0.15,1.2727272727272727,0.18373333333333333,0.918918918918919,0.591157894736842,0.13,0.39610434782608694,0.1456,150.42903641432486,0.39,0.23177142857142857,0.18488888888888888,0.07,0.1,0.05,0.08,0.0,0.16543255813953486,0.03,0.5774647887323944,0.15154285714285712,0.02,0.11,0.04,0.08,0.09244444444444444,0.3209142857142857,0.0,0.08218536585365854,0.1248,0.19165714285714286,0.16,0.3466666666666666,0.05,0.0,0.3198,0.07,0.0,0.01,0.13,0.13,0.07941818181818182,0.15451428571428572,0.05,0.08666666666666666,0.0,0.0832,0.14450526315789475,19.683799445704214,0.06308571428571429,0.07,0.14,0.13866666666666666,0.07,0.20421818181818183,0.08,0.09805714285714286,0.0,0.1794,0.0,0.24365714285714285,0.11394782608695651,0.07817142857142857,0.14,0.38908235294117643,0.094848,0.11,0.0,0.0,0.0,0.0,0.04,0.6,0.0,0.065,0.25,0.04,0.3822,0.0,0.09,0.01,0.15253333333333333,0.0,0.0,0.416,0.05,0.39,0.05,1.2307692307692308,0.0967741935483871,0.0,0.09984,0.03,0.14
