date,Wall art,Throw pillows,Candles,Picture frames,Vases,Area rugs,Table lamps,Clocks,Curtains,Mirrors,Wall shelves,Decorative trays_x,Throw blankets_x,Wall clocks,Bedding sets_x,Candle holders,Floor lamps,Planters,Coffee table books,Storage baskets,Room divider,Diffusers,Curtain rods,Decorative bowls,Bathroom accessories,Table runners,Artificial plants,Couch covers,Sofa pillows,Wall decals,Accent chairs,Coasters,Wall hooks,Duvet covers,Table mats,Window treatments,Jewelry box,Door mats,Decorative lanterns,Tapestries,Magazine racks,Dining sets,Wall sconces,Table covers,Throw blankets_y,Pillow covers,Ceramic decor,Decorative mirrors,Candle jars,Poufs,Woven baskets,Shower curtains,Faux plants,Jewelry organizers,Towel racks,Entryway mirrors,Bar stools,Bedding sets_y,Floating shelves,Floor cushions,Window blinds,Planter stands,Desk organizers,Room sprays,Bedside lamps,Side tables,Tealight holders,Artificial flowers,Storage benches,Decorative books,Faux fur throws,Plant stands,Bed throws,Storage boxes,Vintage clocks,Wall hangings,Chalkboards,Decorative trays_y,Entryway benches,Quilt sets,Flower vases,Ottoman trays,Decorative pillows,Wall organizers_x,Coat racks,Dining table decor,Sofa throws,Art prints,Wall signs,Curtain tiebacks,Wall panels,Shelf decor,Wall tapestries,Decorative storage,Bedside tables,Woven decor,Bedroom decor,Shelf baskets,Closet organizers,Decorative trays,Wall organizers_y,Planter pots
2019-12-29,2.0,0.51,14.43478626018309,0.9523809523809523,0.4787234042553192,1.0588235294117647,0.38,1.0,4.666666666666667,2.2666666666666666,0.46,0.194688,0.11,0.18,0.42,0.34,0.44,0.75,0.04,0.16,0.2,0.19,0.38,0.2819555555555555,0.18,0.13,0.1,0.34,0.9609599999999999,0.28,0.29,0.88,0.18,0.4,0.5526857142857143,0.26,0.59,0.11,0.17734736842105261,0.09,0.1967186440677966,0.46,0.16,0.13,0.11,0.31,0.416,0.43679999999999997,0.07,0.50752,0.4771764705882353,0.47,0.04,0.13898181818181815,0.44247272727272724,0.0,1.0277777777777777,0.42,0.56,0.36705882352941177,0.44,0.07175999999999999,0.27456,0.096,0.5824,0.16,0.14143999999999998,0.1,0.49296,0.18719999999999998,0.078,0.08,0.21517241379310342,0.39,0.25527272727272726,0.07,0.27972413793103446,0.194688,0.11410285714285713,0.06,0.03,0.09478481012658228,0.14,0.13065,0.4612173913043478,0.7487999999999999,0.07696,0.33,0.11,0.0,0.37,0.1,0.10793513513513514,0.6968,0.6335999999999999,0.12202666666666666,0.34,0.27456,0.1,0.194688,0.13065,0.04
2020-01-05,1.8571428571428572,0.46,11.810279667422527,0.7976190476190477,0.5319148936170213,1.035294117647059,0.36,1.0,4.333333333333333,2.2,0.42,0.08736,0.09,0.18,0.37,0.32,0.4,0.78125,0.05,0.13,0.22,0.18,0.38,0.34204444444444443,0.16,0.14,0.12,0.27,0.84864,0.25,0.25,0.6533333333333333,0.18,0.32,0.4992,0.26,0.45,0.13,0.20033684210526317,0.09,0.13537627118644066,0.43,0.17,0.13,0.09,0.29,0.3813333333333333,0.45066666666666666,0.06,0.52416,0.3523764705882353,0.45,0.04,0.11061818181818181,0.4538181818181818,0.0,0.9305555555555556,0.37,0.46,0.3009882352941176,0.42,0.09359999999999999,0.21631999999999998,0.09119999999999999,0.624,0.17,0.11648,0.11,0.41808,0.17472,0.0,0.06,0.1506206896551724,0.31,0.22974545454545453,0.07,0.29693793103448274,0.08736,0.09449142857142856,0.06,0.05,0.0,0.14,0.0819,0.41780869565217393,0.6448,0.08736,0.34,0.08,0.104832,0.38,0.07,0.13154594594594593,0.572,0.5663999999999999,0.07765333333333332,0.29,0.26208,0.09,0.08736,0.0819,0.05
2020-01-12,1.9142857142857144,0.43,11.810279667422527,0.8452380952380952,0.6063829787234043,0.8941176470588236,0.38,1.0,4.6,2.2333333333333334,0.39,0.172224,0.09,0.19,0.34,0.29,0.37,0.84375,0.04,0.14,0.21,0.16,0.38,0.35591111111111107,0.16,0.14,0.12,0.26,0.8111999999999999,0.24,0.22,0.72,0.16,0.3,0.42788571428571426,0.28,0.42,0.12,0.16749473684210525,0.09,0.08884067796610169,0.44,0.16,0.14,0.09,0.26,0.416,0.43679999999999997,0.06,0.5574399999999999,0.41110588235294115,0.46,0.04,0.07232727272727273,0.40843636363636365,0.0,0.9305555555555556,0.34,0.43,0.34503529411764705,0.41,0.07175999999999999,0.21631999999999998,0.0696,0.48879999999999996,0.16,0.14351999999999998,0.12,0.41808,0.21631999999999998,0.0,0.06,0.15922758620689656,0.3,0.24676363636363635,0.06,0.36148965517241377,0.172224,0.09270857142857143,0.06,0.04,0.06634936708860759,0.14,0.10529999999999999,0.43951304347826087,0.6448,0.08943999999999999,0.35,0.09,0.081536,0.39,0.07,0.07757837837837837,0.52,0.6144000000000001,0.08042666666666667,0.28,0.30367999999999995,0.09,0.172224,0.10529999999999999,0.06
2020-01-19,2.0,0.46,10.498026371042247,0.7976190476190477,0.5851063829787234,0.9176470588235294,0.37,1.0,4.533333333333333,2.2666666666666666,0.36,0.13728,0.08,0.18,0.36,0.31,0.38,1.1875,0.05,0.13,0.21,0.15,0.38,0.24497777777777777,0.17,0.12,0.11,0.29,0.8111999999999999,0.26,0.26,0.7066666666666667,0.16,0.3,0.4546285714285714,0.28,0.44,0.11,0.09852631578947368,0.09,0.1269152542372881,0.43,0.16,0.13,0.08,0.25,0.4298666666666667,0.4645333333333333,0.06,0.48256,0.44047058823529406,0.47,0.04,0.08650909090909091,0.44247272727272724,0.0,0.9166666666666666,0.36,0.45,0.37439999999999996,0.44,0.10296,0.22047999999999998,0.0,0.6032,0.16,0.14143999999999998,0.12,0.6052799999999999,0.22047999999999998,0.0,0.07,0.1936551724137931,0.28,0.25527272727272726,0.07,0.33566896551724135,0.13728,0.09092571428571428,0.06,0.04,0.08372658227848101,0.14,0.1209,0.45579130434782605,0.5304,0.12064,0.34,0.09,0.10815999999999999,0.4,0.07,0.1349189189189189,0.6344,0.72,0.08874666666666667,0.3,0.23711999999999997,0.09,0.13728,0.1209,0.06
2020-01-26,1.6857142857142857,0.4,9.185773074661967,0.7142857142857143,0.5319148936170213,0.8235294117647058,0.35,0.9333333333333333,4.066666666666666,2.2,0.34,0.14227199999999998,0.08,0.15,0.29,0.29,0.33,1.125,0.04,0.12,0.2,0.14,0.32,0.25884444444444443,0.15,0.1,0.11,0.25,0.7862399999999999,0.23,0.21,0.6533333333333333,0.15,0.27,0.42788571428571426,0.25,0.38,0.09,0.13793684210526316,0.09,0.11210847457627118,0.41,0.15,0.12,0.08,0.2,0.3813333333333333,0.47146666666666665,0.06,0.4908799999999999,0.33035294117647057,0.44,0.04,0.0,0.39709090909090905,0.0,0.8333333333333334,0.29,0.42,0.3523764705882353,0.4,0.09047999999999999,0.12064,0.0,0.52,0.16,0.09359999999999999,0.1,0.37439999999999996,0.13312,0.0,0.06,0.12049655172413794,0.22,0.1786909090909091,0.05,0.2668137931034482,0.14227199999999998,0.0,0.05,0.03,0.07108860759493671,0.11,0.11505,0.3201391304347826,0.48879999999999996,0.0624,0.31,0.09,0.10815999999999999,0.37,0.06,0.10118918918918919,0.6448,0.4896,0.07487999999999999,0.27,0.22464,0.07,0.14227199999999998,0.11505,0.04
2020-02-02,1.6,0.39,9.185773074661967,0.7619047619047619,0.5425531914893617,0.8352941176470589,0.31,0.9333333333333333,4.133333333333334,2.2666666666666666,0.32,0.10982399999999999,0.07,0.15,0.3,0.27,0.32,1.5,0.04,0.1,0.2,0.15,0.35,0.23573333333333332,0.17,0.11,0.1,0.24,0.7238399999999999,0.21,0.22,0.6666666666666666,0.15,0.26,0.41005714285714284,0.24,0.41,0.09,0.10509473684210525,0.1,0.10153220338983052,0.42,0.14,0.11,0.07,0.21,0.3189333333333333,0.40906666666666663,0.06,0.44928,0.46249411764705883,0.43,0.04,0.08367272727272726,0.3914181818181818,0.0,0.875,0.3,0.41,0.33035294117647057,0.4,0.0,0.13728,0.0,0.48879999999999996,0.13,0.0728,0.11,0.43056,0.1456,0.0,0.06,0.1248,0.25,0.16450909090909088,0.05,0.2625103448275862,0.10982399999999999,0.15154285714285712,0.04,0.05,0.08214683544303797,0.11,0.10725,0.3201391304347826,0.416,0.09568,0.31,0.09,0.101504,0.38,0.05,0.16864864864864865,0.48879999999999996,0.4992,0.08042666666666667,0.28,0.208,0.07,0.10982399999999999,0.10725,0.05
2020-02-09,1.7714285714285714,0.4,10.498026371042247,0.8214285714285714,0.6063829787234043,0.8705882352941177,0.34,1.0,4.066666666666666,2.3,0.34,0.082368,0.07,0.15,0.31,0.25,0.34,0.96875,0.04,0.1,0.2,0.16,0.33,0.2634666666666667,0.15,0.11,0.1,0.26,0.76128,0.2,0.2,0.68,0.14,0.25,0.48137142857142856,0.25,0.45,0.1,0.17077894736842106,0.1,0.1311457627118644,0.43,0.14,0.13,0.07,0.21,0.3605333333333333,0.40906666666666663,0.06,0.4992,0.36705882352941177,0.43,0.04,0.0,0.40843636363636365,0.0,0.8611111111111112,0.31,0.42,0.3376941176470588,0.39,0.09359999999999999,0.17056,0.09359999999999999,0.46799999999999997,0.16,0.07696,0.12,0.33071999999999996,0.13728,0.0,0.06,0.1549241379310345,0.25,0.24676363636363635,0.05,0.23668965517241378,0.082368,0.08914285714285713,0.04,0.06,0.0,0.14,0.1248,0.3092869565217391,0.46799999999999997,0.10608,0.32,0.08,0.069888,0.4,0.06,0.13154594594594593,0.5095999999999999,0.576,0.09984,0.26,0.19552,0.07,0.082368,0.1248,0.05
2020-02-16,1.9142857142857144,0.44,10.498026371042247,0.7380952380952381,0.5531914893617021,0.9411764705882353,0.35,1.2,4.8,2.466666666666667,0.36,0.104832,0.07,0.16,0.36,0.29,0.36,1.03125,0.04,0.12,0.24,0.15,0.38,0.24497777777777777,0.16,0.12,0.11,0.28,0.84864,0.24,0.24,0.7333333333333333,0.14,0.29,0.4546285714285714,0.26,0.4,0.11,0.08867368421052631,0.13,0.14806779661016947,0.52,0.15,0.13,0.07,0.26,0.45759999999999995,0.45066666666666666,0.06,0.46592,0.4771764705882353,0.46,0.05,0.06523636363636363,0.3914181818181818,0.0,0.9722222222222222,0.36,0.47,0.35971764705882353,0.43,0.09359999999999999,0.15392,0.0672,0.52,0.15,0.08943999999999999,0.12,0.37439999999999996,0.14975999999999998,0.0,0.07,0.15922758620689656,0.25,0.16167272727272727,0.06,0.29693793103448274,0.104832,0.10697142857142856,0.05,0.04,0.06950886075949367,0.14,0.0858,0.35812173913043477,0.5408,0.11023999999999999,0.34,0.08,0.063232,0.39,0.07,0.10793513513513514,0.4992,0.5856,0.09151999999999999,0.31,0.22464,0.07,0.104832,0.0858,0.07
2020-02-23,1.6571428571428573,0.42,9.185773074661967,0.7976190476190477,0.5531914893617021,0.9058823529411765,0.3,1.5333333333333334,4.333333333333333,2.3,0.32,0.11731199999999999,0.07,0.14,0.38,0.27,0.31,1.0,0.04,0.1,0.2,0.15,0.35,0.2496,0.16,0.11,0.11,0.28,0.7862399999999999,0.24,0.2,0.6533333333333333,0.14,0.27,0.5259428571428572,0.26,0.37,0.11,0.13465263157894736,0.1,0.10576271186440676,0.48,0.15,0.12,0.07,0.25,0.28426666666666667,0.45066666666666666,0.05,0.46592,0.4184470588235294,0.48,0.04,0.0,0.36872727272727274,0.0,0.875,0.38,0.41,0.33035294117647057,0.42,0.0,0.1248,0.0744,0.52,0.15,0.11439999999999999,0.11,0.39311999999999997,0.15392,0.0,0.07,0.14201379310344828,0.23,0.16734545454545452,0.06,0.29693793103448274,0.11731199999999999,0.08201142857142857,0.06,0.04,0.0,0.14,0.07995,0.32556521739130434,0.5512,0.0832,0.33,0.09,0.093184,0.37,0.06,0.18214054054054052,0.5408,0.5472,0.09706666666666666,0.29,0.23296,0.07,0.11731199999999999,0.07995,0.07
2020-03-01,1.7428571428571429,0.41,9.185773074661967,0.6785714285714286,0.5531914893617021,0.8941176470588236,0.29,2.8,4.333333333333333,2.3666666666666667,0.31,0.08985599999999999,0.07,0.14,0.36,0.25,0.3,1.03125,0.03,0.11,0.2,0.14,0.37,0.2311111111111111,0.16,0.11,0.12,0.3,0.76128,0.25,0.2,0.7333333333333333,0.14,0.25,0.48137142857142856,0.25,0.35,0.11,0.1510736842105263,0.09,0.13537627118644066,0.47,0.15,0.12,0.07,0.23,0.42293333333333333,0.4298666666666667,0.04,0.44928,0.3523764705882353,0.42,0.04,0.0,0.36872727272727274,0.0,0.8333333333333334,0.36,0.39,0.2569411764705882,0.43,0.08112,0.12896000000000002,0.0,0.5095999999999999,0.15,0.08112,0.12,0.32448,0.17472,0.0,0.07,0.1118896551724138,0.23,0.16734545454545452,0.06,0.28402758620689655,0.08985599999999999,0.07666285714285714,0.06,0.04,0.10584303797468353,0.12,0.11505,0.3201391304347826,0.5408,0.0832,0.29,0.09,0.0,0.35,0.05,0.11130810810810811,0.4992,0.5087999999999999,0.11648,0.3,0.23296,0.06,0.08985599999999999,0.11505,0.07
