date,Dumbbells,Yoga mats,Resistance bands,Kettlebells,Treadmills,Jump ropes,Protein powder,Exercise balls,Weight plates,Rowing machines,Workout bench,Pull-up bars_x,Foam rollers_x,Athletic shoes,Yoga blocks,Fitness trackers,Gym gloves,Water bottles,Exercise bikes,Ankle weights,Cross trainers,Pilates ring,Pull-up bars_y,Foam rollers_y,Fitness DVD,Sports bags,Weighted vests,Squat racks,Yoga straps,Punching bags,Heart rate monitors,Power racks,Fitness gear,Toning bands,Stretch bands,Aerobics step,Ab rollers,Bumper plates,Skipping rope,Workout charts,Sandbags,Kettle balls,Ab toners,Fitness apps,Dumbbell sets,Stability balls,Mini bands,Workout clothes,Agility cones,Workout tops,Yoga towels,Glute bands,Parallette bars,Adjustable dumbbells,Barbell pads,Wrist wraps,Medicine balls,Ellipticals,Stretch mats,Home gym sets,Athletic socks,Exercise gloves,Cardio machines,Gym mats,Weighted gloves,High protein snacks,Yoga wheels,Rower machines,Exercise slides,Ab straps,Multi-gym,Plyo boxes,Slam balls,Dumbbell racks,Gym chalk,Weight lifting belts,Jumping mat,Gym water bottles,Arm blasters,Running shoes,Personal scales,Workout planners,Battle ropes
2019-12-29,0.625,0.1,0.34545454545454546,0.1,0.55,0.3857454545454545,2.0,0.2773333333333333,0.08,0.05,0.15,0.0,0.5962666666666666,0.27,0.04,0.04081632653061224,0.3432,0.896551724137931,0.15,0.09,0.6786,0.26428235294117647,0.0,0.5962666666666666,0.3781818181818182,0.5705142857142856,0.09749999999999999,0.11345454545454545,0.13565217391304346,0.044800000000000006,0.3512888888888889,0.2304,0.07,0.0,0.3822,0.4724571428571428,0.0,0.05,0.18152727272727273,0.0,0.07142857142857142,0.0,0.0,0.19,0.01,0.0,0.3914181818181818,0.38,0.0,0.07,0.16097391304347825,0.156,0.0,0.08,0.0,0.07,0.3016,0.67392,0.0,0.0,0.0576,0.0,0.4765090909090909,0.06,0.12706909090909088,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25884444444444443,0.10168888888888888,0.0,0.0,0.0,3.0454545454545454,0.0,0.0,0.054400000000000004
2020-01-05,0.625,0.14,0.34545454545454546,0.1,0.41,0.4197818181818182,2.3333333333333335,0.40213333333333334,0.08,0.05,0.16,0.0,0.4922666666666667,0.24,0.04,0.061224489795918366,0.36191999999999996,1.0344827586206897,0.1,0.09,0.6629999999999999,0.0,0.0,0.4922666666666667,0.21556363636363635,0.5705142857142856,0.11309999999999999,0.1248,0.08862608695652174,0.044800000000000006,0.4622222222222222,0.2496,0.07,0.0,0.21839999999999998,0.4546285714285714,0.0,0.05,0.19287272727272725,0.0,0.09523809523809523,0.0,0.0,0.14,0.02,0.0,0.2949818181818182,0.4,0.0,0.08,0.11937391304347826,0.156,0.0,0.08,0.0,0.07,0.312,0.5740799999999999,0.0,0.0,0.0608,0.0,0.46516363636363633,0.06,0.14522181818181817,0.11,0.0,0.0,0.14213333333333333,0.0,0.0,0.07626666666666666,0.1059622641509434,0.0,0.18026666666666666,0.0,0.0,0.07487999999999999,0.0,2.9545454545454546,0.0,0.0,0.0576
2020-01-12,0.625,0.11,0.34545454545454546,0.08,0.31,0.4197818181818182,2.3333333333333335,0.3328,0.08,0.05,0.14,0.0,0.5546666666666666,0.28,0.03,0.04081632653061224,0.41808,1.0517241379310345,0.1,0.09,0.6629999999999999,0.1908705882352941,0.0,0.5546666666666666,0.25716363636363637,0.6774857142857142,0.1209,0.1248,0.0,0.0384,0.4483555555555555,0.2592,0.06,0.0,0.3822,0.4724571428571428,0.11494736842105262,0.05,0.21556363636363635,0.0,0.07142857142857142,0.0,0.0,0.12,0.02,0.0,0.2893090909090909,0.39,0.0,0.08,0.1772521739130435,0.10251428571428571,0.0,0.07,0.0,0.07,0.3536,0.5116799999999999,0.0,0.0,0.0512,0.09013333333333333,0.5672727272727273,0.06,0.14522181818181817,0.11,0.0,0.0,0.18719999999999998,0.0,0.0,0.0,0.07299622641509433,0.0,0.24035555555555554,0.13866666666666666,0.0,0.0,0.0,2.8636363636363638,0.0,0.0,0.064
2020-01-19,0.5833333333333334,0.1,0.36363636363636365,0.08,0.3,0.4538181818181818,2.1481481481481484,0.2819555555555555,0.08,0.04,0.16,0.0,0.5754666666666666,0.24,0.03,0.04081632653061224,0.38688,0.9827586206896551,0.09,0.1,0.7487999999999999,0.22757647058823527,0.0,0.5754666666666666,0.2231272727272727,0.6150857142857142,0.10139999999999999,0.20421818181818183,0.13384347826086956,0.041600000000000005,0.41137777777777773,0.144,0.06,0.0,0.42119999999999996,0.5259428571428572,0.12315789473684209,0.06,0.22123636363636362,0.0,0.07142857142857142,0.0,0.0,0.11,0.01,0.0,0.3176727272727273,0.39,0.0,0.09,0.16097391304347825,0.2540571428571428,0.0,0.07,0.0,0.07,0.3432,0.47423999999999994,0.0,0.0,0.044800000000000006,0.09359999999999999,0.4197818181818182,0.06,0.1769890909090909,0.09,0.0,0.07626666666666666,0.11786666666666666,0.0,0.0,0.0,0.08006037735849056,0.0,0.2680888888888889,0.12017777777777777,0.0,0.0,0.0,2.8636363636363638,0.0,0.0,0.0608
2020-01-26,0.5416666666666666,0.1,0.32727272727272727,0.06,0.24,0.48785454545454543,2.185185185185185,0.21724444444444443,0.07,0.04,0.13,0.0,0.52,0.24,0.03,0.04081632653061224,0.26208,0.9482758620689655,0.08,0.09,0.6396,0.16150588235294117,0.0,0.52,0.13236363636363635,0.6150857142857142,0.14429999999999998,0.13614545454545454,0.1519304347826087,0.0384,0.45297777777777776,0.16319999999999998,0.06,0.0,0.4446,0.44571428571428573,0.0,0.05,0.2098909090909091,0.0,0.047619047619047616,0.0,0.0,0.09,0.01,0.0,0.24392727272727271,0.36,0.0,0.09,0.11394782608695651,0.1649142857142857,0.0,0.06,0.0,0.07,0.338,0.41184,0.0,0.0,0.048,0.0,0.47083636363636366,0.05,0.12253090909090908,0.08,0.0,0.0,0.1248,0.07395555555555555,0.0,0.0,0.11773584905660377,0.0,0.2496,0.0,0.0,0.0,0.0,2.772727272727273,0.0,0.0,0.054400000000000004
2020-02-02,0.5416666666666666,0.09,0.3090909090909091,0.08,0.27,0.5105454545454545,2.111111111111111,0.30506666666666665,0.07,0.03,0.14,0.0,0.4437333333333333,0.26,0.03,0.04081632653061224,0.33696,0.9137931034482759,0.09,0.09,0.6006,0.21289411764705882,0.0,0.4437333333333333,0.36305454545454546,0.6329142857142857,0.156,0.09076363636363637,0.10128695652173914,0.041600000000000005,0.3836444444444444,0.22079999999999997,0.07,0.0,0.3822,0.34765714285714283,0.0,0.06,0.20421818181818183,0.0,0.07142857142857142,0.0,0.0,0.09,0.01,0.0,0.2496,0.38,0.0,0.07,0.0,0.18719999999999998,0.0,0.07,0.0,0.07,0.3224,0.48672,0.0,0.0,0.044800000000000006,0.0,0.36305454545454546,0.05,0.12253090909090908,0.08,0.0,0.0,0.16986666666666667,0.0,0.0,0.08551111111111111,0.0,0.0,0.17102222222222221,0.104,0.0,0.0,0.0,2.909090909090909,0.0,0.0,0.0512
2020-02-09,0.5416666666666666,0.08,0.3090909090909091,0.08,0.26,0.4311272727272727,2.037037037037037,0.3328,0.08,0.04,0.13,0.0,0.5962666666666666,0.29,0.03,0.04081632653061224,0.34944,0.9827586206896551,0.08,0.09,0.7176,0.15416470588235295,0.0,0.5962666666666666,0.1890909090909091,0.6061714285714285,0.15209999999999999,0.15883636363636364,0.09224347826086955,0.0352,0.3790222222222222,0.16319999999999998,0.06,0.0,0.3354,0.46354285714285715,0.0,0.06,0.18719999999999998,0.0,0.07142857142857142,0.0,0.0,0.11,0.01,0.0,0.2779636363636363,0.35,0.0,0.08,0.0,0.17382857142857142,0.0,0.07,0.0,0.08,0.3172,0.44928,0.0,0.0,0.0512,0.0,0.4311272727272727,0.06,0.14068363636363634,0.07,0.0,0.09244444444444444,0.11093333333333333,0.0,0.0,0.0,0.0,0.0,0.18488888888888888,0.12711111111111112,0.0,0.0,0.0,2.9545454545454546,0.0,0.0,0.054400000000000004
2020-02-16,0.5833333333333334,0.08,0.32727272727272727,0.07,0.26,0.44247272727272724,2.0,0.3328,0.09,0.04,0.14,0.0,0.6725333333333333,0.29,0.03,0.04081632653061224,0.33071999999999996,1.0862068965517242,0.09,0.08,0.6162,0.18352941176470589,0.0,0.6725333333333333,0.15883636363636364,0.6953142857142857,0.15209999999999999,0.09076363636363637,0.08681739130434782,0.041600000000000005,0.45759999999999995,0.17279999999999998,0.06,0.0,0.2964,0.46354285714285715,0.08374736842105263,0.07,0.20421818181818183,0.0,0.07142857142857142,0.0,0.0,0.08,0.02,0.0,0.30065454545454545,0.35,0.0,0.09,0.1248,0.17382857142857142,0.0,0.07,0.0,0.09,0.2912,0.53664,0.0,0.0,0.0512,0.07106666666666667,0.4254545454545454,0.06,0.11572363636363636,0.09,0.0,0.09013333333333333,0.1456,0.0,0.0,0.09013333333333333,0.0,0.0,0.2126222222222222,0.09937777777777777,0.0,0.0,0.0,3.227272727272727,0.0,0.0,0.0608
2020-02-23,0.5416666666666666,0.1,0.2909090909090909,0.08,0.25,0.5332363636363636,2.111111111111111,0.36977777777777776,0.08,0.05,0.14,0.0,0.5893333333333333,0.29,0.03,0.04081632653061224,0.3432,0.9482758620689655,0.08,0.1,0.6396,0.17618823529411765,0.0,0.5893333333333333,0.1248,0.6418285714285714,0.1911,0.15883636363636364,0.07958260869565216,0.041600000000000005,0.3466666666666666,0.16319999999999998,0.05,0.0,0.2964,0.6061714285714285,0.07389473684210525,0.05,0.21556363636363635,0.0,0.047619047619047616,0.0,0.0,0.09,0.01,0.0,0.23258181818181817,0.35,0.0,0.09,0.1519304347826087,0.18274285714285712,0.0,0.07,0.0,0.07,0.286,0.39936,0.0,0.0,0.048,0.06933333333333333,0.48218181818181816,0.05,0.18152727272727273,0.08,0.0,0.0,0.20106666666666667,0.0,0.0,0.1063111111111111,0.0,0.0,0.18026666666666666,0.1063111111111111,0.0,0.0,0.0,3.090909090909091,0.0,0.0,0.0576
2020-03-01,0.5416666666666666,0.1,0.3090909090909091,0.08,0.21,0.4765090909090909,2.037037037037037,0.3143111111111111,0.08,0.03,0.14,0.0,0.4645333333333333,0.28,0.03,0.02040816326530612,0.44303999999999993,1.1206896551724137,0.07,0.09,0.6629999999999999,0.1468235294117647,0.0,0.4645333333333333,0.23069090909090906,0.6953142857142857,0.0741,0.1248,0.0,0.032,0.30506666666666665,0.2016,0.06,0.0,0.312,0.6150857142857142,0.0,0.05,0.15316363636363636,0.0,0.07142857142857142,0.0,0.0,0.08,0.01,0.0,0.25527272727272726,0.32,0.0,0.08,0.08139130434782609,0.15154285714285712,0.0,0.07,0.0,0.08,0.2652,0.48672,0.0,0.0,0.0576,0.11613333333333332,0.4254545454545454,0.05,0.15656727272727272,0.08,0.0,0.0,0.19759999999999997,0.0,0.0,0.11093333333333333,0.08006037735849056,0.0,0.1664,0.0,0.0,0.0,0.0,3.3181818181818183,0.0,0.0,0.0576
2020-03-08,0.625,0.08,0.3090909090909091,0.08,0.21,0.5218909090909091,1.5925925925925926,0.30506666666666665,0.08,0.03,0.14,0.0,0.5130666666666666,0.22,0.03,0.02040816326530612,0.624,1.206896551724138,0.08,0.08,0.5459999999999999,0.18352941176470589,0.0,0.5130666666666666,0.1626181818181818,0.5705142857142856,0.1638,0.10210909090909091,0.07958260869565216,0.032,0.34204444444444443,0.15360000000000001,0.05,0.0,0.38999999999999996,0.43679999999999997,0.08046315789473683,0.07,0.18719999999999998,0.0,0.07142857142857142,0.0,0.0,0.08,0.02,0.0,0.2496,0.27,0.0,0.06,0.08500869565217391,0.15154285714285712,0.0,0.11,0.0,0.06,0.2236,0.48672,0.0,0.0,0.044800000000000006,0.06933333333333333,0.36305454545454546,0.06,0.08395636363636363,0.06,0.0,0.0,0.1352,0.0,0.0,0.09013333333333333,0.0,0.0,0.2496,0.09475555555555555,0.0,0.0,0.0,2.727272727272727,0.077376,0.0,0.0384
