date,Baby clothes,Diapers,Strollers,Baby bottles_x,Cribs,Pacifiers,Baby wipes,Baby formula,Diaper bags,Baby blankets_x,High chairs,Baby monitors_x,Car seats,Bibs,Baby toys,Bottle warmers,Breast pumps,Changing pads,Swaddles,Baby shampoos,Teethers,Baby carriers_x,Baby lotion,Baby baths,Baby hats_x,Baby mittens,Baby socks_x,Baby walkers,Infant seats,Nursery furniture,Play mats,Baby swings,Nursing pillows,Baby thermometers,Baby detergent_x,Diaper cream,Baby spoons,Sippy cups,Baby tubs,Baby bouncers,Baby rattles_x,Baby monitors_y,Infant car seats,Sleep sacks,Baby gates,Crib mattresses,Bottle sterilizers,Baby washcloths,Baby combs,Rocking chairs,Baby books,Infant toys,Baby nail clippers,Baby powder,Sleepers,Burp cloths,Baby pajamas,Booster seats,Playpens,Baby bibs,Baby onesies,Baby sandals,Toddler beds,Feeding bibs,Newborn essentials,Safety latches,Baby hangers,Portable cribs,Baby bottles_y,Baby carriers_y,Nursing covers,Soft toys,Stuffed animals,Baby lotions,Baby hats_y,Sun hats,Baby night lights,Baby rattles_y,Hooded towels,Baby sunblock,Baby blankets_y,Baby shoes,Baby bags,Infant bottles,Travel changing pads,Baby towels,Breastfeeding covers,Teething gel,Bottle brushes,Baby socks_y,Baby skincare,Play yard,Baby detergent_y,Feeding bowls,Nasal aspirators,Baby hairbrush
2019-12-29,1.55,2.8846153846153846,0.58,0.43478260869565216,0.5824175824175825,0.18,0.2727272727272727,2.6245065927605618,0.23,0.19,0.18,1.17312,1.161764705882353,0.7183098591549296,0.5064935064935064,0.15656727272727272,0.13,0.82368,0.6364799999999999,0.0,0.4992,0.624,0.18,0.22332631578947368,0.1,0.5116799999999999,0.13,0.6115200000000001,1.248,0.1,0.5408,0.07,0.01,0.0,0.11,0.18,0.3016,0.09,0.21587027027027028,0.32185263157894733,0.10309565217391303,1.17312,1.1005090909090909,0.5786181818181818,0.16,0.24631578947368418,0.0,0.18026666666666666,0.01,0.13,0.26,0.02,0.1248,0.32,0.6052631578947368,0.5952,0.12,0.16,0.3201391304347826,0.86112,0.12,0.04,0.13,0.0,0.30968888888888885,0.17512258064516129,0.46592,0.0,0.43478260869565216,0.624,0.18719999999999998,0.4765090909090909,0.611764705882353,0.0,0.1,0.04,0.10697142857142856,0.10309565217391303,0.4037647058823529,0.0,0.19,0.6947368421052632,0.17,0.20279999999999998,0.0,0.528,0.07882105263157894,0.6101333333333333,0.09730169491525424,0.13,0.11648,0.14,0.11,0.0832,0.0,0.0
2020-01-05,1.55,2.730769230769231,0.49,0.42391304347826086,0.5604395604395604,0.17,0.30303030303030304,2.6245065927605618,0.23,0.21,0.19,1.17312,1.1029411764705883,0.647887323943662,0.4675324675324675,0.14295272727272726,0.14,0.76128,0.76128,0.0,0.4992,0.5657599999999999,0.17,0.2725894736842105,0.09,0.5990399999999999,0.14,0.58656,1.1606400000000001,0.07,0.45759999999999995,0.08,0.0,0.09037241379310344,0.1,0.18,0.36920000000000003,0.09,0.2968216216216216,0.2561684210526316,0.11123478260869564,1.17312,1.0097454545454545,0.4538181818181818,0.15,0.2496,0.0,0.1456,0.01,0.11,0.29,0.03,0.1957090909090909,0.36,0.5526315789473685,0.6144000000000001,0.11,0.13,0.352695652173913,0.8111999999999999,0.13,0.05,0.11,0.0,0.2126222222222222,0.09058064516129032,0.34944,0.0,0.42391304347826086,0.5657599999999999,0.16986666666666667,0.5559272727272726,0.6,0.0,0.09,0.06,0.10102857142857143,0.11123478260869564,0.3156705882352941,0.0,0.21,0.6631578947368421,0.16,0.25583999999999996,0.0,0.432,0.0,0.6170666666666667,0.0,0.14,0.09568,0.11,0.1,0.104,0.0,0.0
2020-01-12,1.625,2.8461538461538463,0.53,0.42391304347826086,0.5274725274725275,0.18,0.30303030303030304,2.6245065927605618,0.21,0.21,0.18,0.97344,1.1323529411764706,0.6619718309859155,0.45454545454545453,0.14295272727272726,0.12,0.8111999999999999,0.64896,0.0,0.5568,0.54912,0.19,0.1543578947368421,0.09,0.4992,0.14,0.6364799999999999,1.2230400000000001,0.07,0.5158400000000001,0.07,0.01,0.07746206896551724,0.08,0.18,0.3484,0.09,0.21587027027027028,0.26273684210526316,0.13565217391304346,0.97344,1.1345454545454545,0.5105454545454545,0.15,0.2167578947368421,0.0,0.2496,0.01,0.12,0.29,0.04,0.12763636363636363,0.33,0.5263157894736842,0.6047999999999999,0.1,0.13,0.37439999999999996,0.86112,0.14,0.05,0.1,0.0,0.27271111111111107,0.1489548387096774,0.42432,0.0,0.42391304347826086,0.54912,0.19759999999999997,0.4538181818181818,0.6235294117647059,0.08606896551724139,0.09,0.06,0.08914285714285713,0.13565217391304346,0.33035294117647057,0.0,0.21,0.6947368421052632,0.17,0.19032,0.0,0.576,0.0,0.5130666666666666,0.1311457627118644,0.14,0.12064,0.12,0.08,0.10168888888888888,0.0,0.0
2020-01-19,1.725,2.6538461538461537,0.55,0.42391304347826086,0.5604395604395604,0.19,0.3939393939393939,2.6245065927605618,0.23,0.21,0.18,0.9609599999999999,1.161764705882353,0.7323943661971831,0.4675324675324675,0.1542981818181818,0.13,0.7487999999999999,0.92352,0.0,0.528,0.5824,0.19,0.23317894736842104,0.1,0.5740799999999999,0.14,0.69888,1.03584,0.07,0.48256,0.08,0.01,0.0,0.12,0.18,0.3276,0.09,0.2765837837837838,0.2496,0.11394782608695651,0.9609599999999999,0.9189818181818181,0.46516363636363633,0.14,0.2167578947368421,0.0,0.23573333333333332,0.01,0.12,0.27,0.04,0.11912727272727272,0.35,0.5263157894736842,0.7968000000000001,0.12,0.13,0.37982608695652176,1.07328,0.14,0.05,0.11,0.0,0.24497777777777777,0.1248,0.42432,0.13948235294117647,0.42391304347826086,0.5824,0.07626666666666666,0.44247272727272724,0.6,0.09252413793103448,0.1,0.07,0.0,0.11394782608695651,0.3964235294117647,0.0,0.21,0.7263157894736842,0.16,0.18095999999999998,0.0,0.6047999999999999,0.0,0.4992,0.10576271186440676,0.14,0.0832,0.12,0.12,0.13173333333333334,0.0,0.0
2020-01-26,1.45,2.5384615384615383,0.45,0.391304347826087,0.5054945054945055,0.16,0.2727272727272727,2.6245065927605618,0.19,0.18,0.17,0.9359999999999999,1.0147058823529411,0.5633802816901409,0.44155844155844154,0.0,0.13,0.77376,0.6864,0.0,0.48,0.5408,0.17,0.19705263157894737,0.09,0.41184,0.13,0.73632,1.07328,0.07,0.40768,0.07,0.0,0.0,0.09,0.17,0.3172,0.09,0.21587027027027028,0.19705263157894737,0.18991304347826088,0.9359999999999999,0.9643636363636363,0.46516363636363633,0.13,0.2101894736842105,0.0,0.16293333333333332,0.01,0.1,0.29,0.03,0.1474909090909091,0.31,0.5,0.6047999999999999,0.1,0.12,0.3092869565217391,0.97344,0.13,0.05,0.1,0.0,0.2311111111111111,0.13083870967741934,0.3328,0.0,0.391304347826087,0.5408,0.19413333333333332,0.40843636363636365,0.5647058823529412,0.09252413793103448,0.09,0.07,0.0,0.18991304347826088,0.2936470588235294,0.07071999999999999,0.18,0.7052631578947368,0.16,0.17784,0.0,0.4896,0.0,0.5269333333333334,0.07403389830508474,0.13,0.1248,0.12,0.09,0.12942222222222222,0.0,0.0
2020-02-02,1.875,2.423076923076923,0.46,0.358695652173913,0.5054945054945055,0.17,0.30303030303030304,2.6245065927605618,0.21,0.18,0.16,0.8860799999999999,1.1029411764705883,0.5492957746478874,0.45454545454545453,0.10664727272727272,0.13,0.89856,0.6115200000000001,0.0,0.48,0.81536,0.17,0.2167578947368421,0.08,0.39936,0.13,0.54912,1.0233599999999998,0.06,0.47423999999999994,0.07,0.0,0.07315862068965516,0.1,0.15,0.2756,0.09,0.1484108108108108,0.295578947368421,0.08681739130434782,0.8860799999999999,0.9189818181818181,0.44247272727272724,0.13,0.19376842105263156,0.0,0.18719999999999998,0.01,0.11,0.28,0.03,0.1333090909090909,0.33,0.47368421052631576,0.5376,0.11,0.19,0.3472695652173913,0.86112,0.13,0.05,0.1,0.0,0.21724444444444443,0.08856774193548388,0.35775999999999997,0.10277647058823529,0.358695652173913,0.81536,0.19413333333333332,0.4197818181818182,0.611764705882353,0.11404137931034483,0.08,0.07,0.0,0.08681739130434782,0.3376941176470588,0.0,0.18,0.7052631578947368,0.15,0.19344,0.0,0.5184,0.0,0.5269333333333334,0.07614915254237288,0.13,0.0,0.13,0.1,0.1479111111111111,0.0,0.0
2020-02-09,1.5,2.5,0.48,0.3695652173913043,0.5274725274725275,0.16,0.30303030303030304,2.6245065927605618,0.19,0.18,0.16,0.91104,1.1176470588235294,0.5774647887323944,0.45454545454545453,0.09530181818181818,0.12,0.86112,0.624,0.0,0.4704,0.7155199999999999,0.18,0.19376842105263156,0.08,0.36191999999999996,0.13,0.6364799999999999,1.03584,0.08,0.48256,0.08,0.0,0.0,0.11,0.16,0.22879999999999998,0.08,0.1855135135135135,0.20033684210526317,0.1410782608695652,0.91104,0.9416727272727273,0.5559272727272726,0.15,0.1510736842105263,0.0,0.20106666666666667,0.01,0.13,0.28,0.03,0.15316363636363636,0.31,0.5263157894736842,0.576,0.1,0.14,0.2713043478260869,0.9359999999999999,0.12,0.06,0.1,0.0,0.2311111111111111,0.09661935483870968,0.37439999999999996,0.0719435294117647,0.3695652173913043,0.7155199999999999,0.1733333333333333,0.4992,0.8588235294117647,0.0,0.08,0.08,0.0,0.1410782608695652,0.3376941176470588,0.0,0.18,0.7052631578947368,0.16,0.18719999999999998,0.0,0.5568,0.0,0.40906666666666663,0.10787796610169491,0.13,0.104,0.12,0.11,0.0,0.0,0.0
2020-02-16,1.8,2.6923076923076925,0.54,0.391304347826087,0.5274725274725275,0.16,0.30303030303030304,2.6245065927605618,0.2,0.2,0.18,0.92352,1.25,0.5492957746478874,0.5324675324675324,0.09076363636363637,0.13,0.9484799999999999,0.64896,0.0,0.5663999999999999,0.7155199999999999,0.18,0.22332631578947368,0.09,0.48672,0.14,0.6614399999999999,0.98592,0.08,0.44928,0.08,0.0,0.0,0.11,0.17,0.2964,0.1,0.15178378378378377,0.2561684210526316,0.07596521739130435,0.92352,0.8735999999999999,0.5105454545454545,0.14,0.14450526315789475,0.0,0.18719999999999998,0.01,0.14,0.3,0.03,0.12196363636363636,0.33,0.5526315789473685,0.6432,0.11,0.14,0.32556521739130434,0.89856,0.13,0.06,0.1,0.0,0.23573333333333332,0.09058064516129032,0.36607999999999996,0.0,0.391304347826087,0.7155199999999999,0.1352,0.4992,0.6235294117647059,0.1312551724137931,0.09,0.09,0.0,0.07596521739130435,0.42578823529411763,0.09568,0.2,0.8,0.16,0.18719999999999998,0.0,0.6047999999999999,0.0,0.5130666666666666,0.14595254237288136,0.14,0.09984,0.13,0.11,0.10168888888888888,0.0,0.0
2020-02-23,1.85,2.6538461538461537,0.55,0.40217391304347827,0.4835164835164835,0.16,0.36363636363636365,2.6245065927605618,0.21,0.18,0.2,0.86112,1.2205882352941178,0.5070422535211268,0.4935064935064935,0.08395636363636363,0.1,0.9359999999999999,0.89856,0.0,0.6527999999999999,0.68224,0.18,0.19376842105263156,0.09,0.41184,0.13,0.7862399999999999,1.0233599999999998,0.07,0.4908799999999999,0.09,0.0,0.0,0.11,0.16,0.2912,0.09,0.252972972972973,0.3054315789473684,0.20619130434782607,0.86112,0.9076363636363636,0.4538181818181818,0.15,0.22661052631578948,0.0,0.23573333333333332,0.01,0.13,0.29,0.04,0.1333090909090909,0.31,0.5263157894736842,0.6432,0.11,0.14,0.3472695652173913,0.9359999999999999,0.13,0.09,0.14,0.0,0.2680888888888889,0.0,0.24128,0.09837176470588234,0.40217391304347827,0.68224,0.156,0.4197818181818182,0.5529411764705883,0.08822068965517241,0.09,0.1,0.08022857142857143,0.20619130434782607,0.3376941176470588,0.06864,0.18,0.7894736842105263,0.16,0.15288000000000002,0.0,0.4992,0.0,0.416,0.08884067796610169,0.13,0.07071999999999999,0.14,0.11,0.11555555555555555,0.0,0.0
2020-03-01,1.725,2.5,0.49,0.3695652173913043,0.4725274725274725,0.16,0.48484848484848486,2.6245065927605618,0.2,0.18,0.18,0.89856,1.1764705882352942,0.4225352112676056,0.5194805194805194,0.11345454545454545,0.11,0.91104,0.71136,0.0,0.6144000000000001,0.67392,0.18,0.20362105263157892,0.09,0.37439999999999996,0.13,0.6864,0.98592,0.06,0.38272,0.08,0.0,0.0688551724137931,0.1,0.15,0.3276,0.09,0.2597189189189189,0.20690526315789473,0.12208695652173912,0.89856,0.8849454545454545,0.3517090909090909,0.14,0.1543578947368421,0.0,0.1733333333333333,0.01,0.15,0.29,0.03,0.13614545454545454,0.3,0.5,0.6047999999999999,0.1,0.13,0.2930086956521739,0.91104,0.13,0.08,0.11,0.0,0.22648888888888888,0.12681290322580643,0.3328,0.0,0.3695652173913043,0.67392,0.11093333333333333,0.39709090909090905,0.5176470588235295,0.09037241379310344,0.09,0.08,0.0713142857142857,0.12208695652173912,0.41110588235294115,0.0,0.18,0.8210526315789474,0.15,0.20904,0.0,0.576,0.0,0.5269333333333334,0.1248,0.13,0.0,0.13,0.1,0.11093333333333333,0.0,0.0
