date,T-shirts,Jeans,Dresses,Jackets,Shoes,Hats,Scarves,Gloves,Sweaters,Pants,Shirts,Socks,Coats,Blazers,Suits,Swimwear,Sportswear,Sneakers,Belts,Sunglasses,Skirts,Handbags,Jewelry,Necklaces,Bracelets,Earrings,Watches,Boots,High heels,Sandals,Hoodies,Tracksuits,Vests,Leggings,Activewear,Accessories,Lingerie,Undergarments,Tights,Workout clothes,Yoga pants,Beachwear,Formal wear,Casual wear,Fashion tops,Designer brands,Winter wear,Summer wear,Fashion jackets,Fashion belts,Graphic tees,Denim jackets,Polo shirts,Slim-fit jeans,Wide-leg pants,Blouses,Leather jackets,Cargo pants,Ankle boots,Baseball caps,Straw hats,Wool sweaters,Down jackets,Overalls,Tube tops,Crop tops,Windbreakers,Cardigans,Rompers,Dress shoes,Platform shoes,Slip-ons,Flats,Ballet flats,Fashion jewelry,Hair accessories,Zipper jackets,Button-down shirts,Tank tops,Mini skirts,Trench coats,Hooded sweatshirts,Bucket hats,Blazer jackets,Snow boots,Compression wear,Wristbands,Chokers,Fur coats,Designer sunglasses,Travel bags,Canvas bags,Beanies,Turtlenecks,Culottes,Maxi dresses,Leather bags,Puffer jackets,Halter tops,Ripped jeans
2019-12-29,0.5263157894736842,51.177878558830955,53.802385151591515,17.059292852943653,184.7866886739579,6.2,0.63,17.059292852943653,2.5,64.30041152263377,41.99210548416899,26.24506592760562,4.153846153846154,15.74703955656337,15.74703955656337,1.1379310344827587,0.6823529411764706,26.24506592760562,2.2222222222222223,15.74703955656337,1.4583333333333333,2.1578947368421053,45.928865373309826,1.1333333333333333,3.1333333333333333,17.059292852943653,22.308306038464774,109.04640068512192,0.8947368421052632,13.12253296380281,2.3529411764705883,0.08,0.58,19.683799445704214,0.36,27.557319223985896,4.0,0.08,1.84375,0.37,0.9789473684210527,0.05,0.3,0.17,0.9076363636363636,0.17,0.36,0.07,0.6911999999999999,0.19563243243243242,0.22826086956521738,0.08320000000000001,0.5256410256410257,0.0,0.10277647058823529,0.46,0.36,0.5897435897435898,0.9538461538461539,0.12,0.07,0.06,0.11,0.975,0.06,0.2,0.9189818181818181,0.22,0.19,1.7714285714285714,0.25,0.01,3.3333333333333335,0.17,0.11,0.18,0.2496,0.0,0.42424242424242425,0.09,0.07,0.03,0.06,0.4992,1.28,0.11,0.2,0.0736,0.23,0.06,0.22,0.12,0.4787234042553192,0.11,0.06,0.3,0.24,0.1,0.39936,0.62
2020-01-05,0.5526315789473685,47.24111866969011,59.05139833711264,14.43478626018309,174.07441686677194,5.6,0.55,17.059292852943653,2.0714285714285716,57.73914504073236,40.679852187788704,23.620559334845055,3.6153846153846154,9.185773074661967,17.059292852943653,1.3793103448275863,0.6588235294117647,23.620559334845055,2.1666666666666665,15.74703955656337,1.375,1.736842105263158,40.679852187788704,1.0444444444444445,2.533333333333333,15.74703955656337,20.996052742084494,90.56395989103346,0.7789473684210526,13.12253296380281,2.2941176470588234,0.07,0.51,17.059292852943653,0.41,23.620559334845055,3.611111111111111,0.08,1.5,0.4,0.9473684210526315,0.05,0.33,0.15,0.7147636363636364,0.16,0.35,0.08,0.4704,0.22261621621621622,0.2391304347826087,0.0672,0.5384615384615384,0.0,0.0,0.45,0.31,0.5897435897435898,0.7846153846153846,0.1,0.06,0.05,0.09,0.825,0.05,0.18,0.9643636363636363,0.2,0.22,1.542857142857143,0.28,0.02,3.4761904761904763,0.17,0.11,0.18,0.23961599999999997,0.0,0.4393939393939394,0.09,0.05,0.03,0.06,0.44781176470588235,0.96,0.11,0.2,0.0704,0.17,0.06,0.26,0.13,0.3829787234042553,0.09,0.07,0.33,0.23,0.07,0.34944,0.59
2020-01-12,0.5789473684210527,45.928865373309826,64.30041152263377,14.43478626018309,171.39634891497545,6.0,0.56,17.059292852943653,2.0,61.6759049298732,44.61661207692955,24.932812631225335,3.3846153846153846,10.498026371042247,18.371546149323933,1.5517241379310345,0.6352941176470588,23.620559334845055,2.361111111111111,14.43478626018309,1.5625,1.736842105263158,40.679852187788704,1.0888888888888888,2.6,17.059292852943653,19.683799445704214,92.4122039704423,0.8736842105263158,15.74703955656337,2.2941176470588234,0.07,0.53,17.059292852943653,0.4,23.620559334845055,3.8333333333333335,0.08,1.40625,0.38,0.9368421052631579,0.06,0.37,0.16,0.8622545454545454,0.15,0.32,0.09,0.5568,0.21587027027027028,0.22826086956521738,0.0704,0.5512820512820513,0.0,0.0,0.53,0.3,0.6153846153846154,0.7846153846153846,0.12,0.07,0.05,0.1,0.925,0.06,0.2,0.9757090909090909,0.21,0.23,1.7428571428571429,0.31,0.02,3.4285714285714284,0.18,0.11,0.18,0.22464,0.0,0.5,0.09,0.06,0.03,0.07,0.4184470588235294,1.08,0.09,0.27,0.0736,0.17,0.06,0.26,0.12,0.3723404255319149,0.07,0.08,0.4,0.25,0.08,0.39936,0.61
2020-01-19,0.631578947368421,49.86562526245067,66.92491811539432,15.74703955656337,163.362145059586,6.2,0.55,18.371546149323933,2.0714285714285716,59.05139833711264,44.61661207692955,23.620559334845055,3.8461538461538463,13.12253296380281,18.371546149323933,1.5172413793103448,0.6588235294117647,24.932812631225335,2.2222222222222223,15.74703955656337,1.5416666666666667,1.631578947368421,39.36759889140843,1.0666666666666667,2.7333333333333334,17.059292852943653,19.683799445704214,90.56395989103346,0.8631578947368421,14.43478626018309,2.3529411764705883,0.07,0.52,17.059292852943653,0.41,22.308306038464774,4.111111111111111,0.08,1.46875,0.39,0.8947368421052632,0.05,0.35,0.16,0.8622545454545454,0.15,0.32,0.1,0.5663999999999999,0.2496,0.21739130434782608,0.08320000000000001,0.5256410256410257,0.0,0.13214117647058823,0.51,0.3,0.6410256410256411,0.8153846153846154,0.13,0.08,0.04,0.11,0.975,0.06,0.21,1.0097454545454545,0.2,0.23,1.6857142857142857,0.3,0.01,3.4761904761904763,0.16,0.1,0.16,0.22464,0.07904,0.48484848484848486,0.08,0.05,0.03,0.07,0.3817411764705882,1.0,0.1,0.28,0.0704,0.19,0.05,0.27,0.12,0.3723404255319149,0.1,0.08,0.37,0.24,0.08,0.46176,0.62
2020-01-26,0.631578947368421,43.30435878054927,61.6759049298732,11.810279667422527,192.8208925293474,5.6,0.44,14.43478626018309,1.6428571428571428,53.802385151591515,43.30435878054927,20.996052742084494,2.8461538461538463,18.371546149323933,17.059292852943653,1.3793103448275863,0.6470588235294118,26.24506592760562,2.111111111111111,14.43478626018309,1.3958333333333333,1.368421052631579,38.05534559502814,1.0222222222222221,2.2666666666666666,15.74703955656337,17.059292852943653,73.92976317635386,0.7894736842105263,14.43478626018309,2.176470588235294,0.08,0.47,14.43478626018309,0.35,20.996052742084494,3.7222222222222223,0.08,1.5,0.36,0.8526315789473684,0.05,0.32,0.16,0.7601454545454545,0.14,0.26,0.08,0.4704,0.1720216216216216,0.21739130434782608,0.0704,0.48717948717948717,0.0,0.0,0.46,0.26,0.5641025641025641,0.6615384615384615,0.13,0.07,0.04,0.07,0.85,0.06,0.2,0.896290909090909,0.17,0.26,1.6571428571428573,0.3,0.01,3.3333333333333335,0.18,0.1,0.17,0.139776,0.12064,0.4393939393939394,0.08,0.05,0.03,0.06,0.3964235294117647,0.56,0.1,0.28,0.0672,0.14,0.05,0.2,0.12,0.2978723404255319,0.06,0.07,0.35,0.21,0.06,0.36191999999999996,0.59
2020-02-02,0.6578947368421053,47.24111866969011,64.30041152263377,13.12253296380281,174.07441686677194,6.1,0.44,15.74703955656337,1.5714285714285714,55.11463844797179,44.61661207692955,20.996052742084494,2.923076923076923,15.74703955656337,17.059292852943653,1.4482758620689655,0.6352941176470588,23.620559334845055,1.9444444444444444,15.74703955656337,1.4583333333333333,1.5263157894736843,40.679852187788704,1.1333333333333333,2.7333333333333334,15.74703955656337,19.683799445704214,73.92976317635386,0.8736842105263158,14.43478626018309,2.235294117647059,0.08,0.44,15.74703955656337,0.39,22.308306038464774,4.777777777777778,0.09,1.34375,0.38,0.8526315789473684,0.05,0.32,0.16,0.8055272727272726,0.15,0.24,0.09,0.5376,0.1990054054054054,0.2608695652173913,0.0736,0.5256410256410257,0.0,0.13214117647058823,0.54,0.27,0.5897435897435898,0.6923076923076923,0.13,0.08,0.04,0.07,0.85,0.06,0.21,1.0097454545454545,0.2,0.26,1.7714285714285714,0.29,0.01,3.5238095238095237,0.17,0.1,0.16,0.104832,0.0,0.4696969696969697,0.08,0.05,0.02,0.07,0.4771764705882353,0.64,0.1,0.27,0.0704,0.13,0.06,0.22,0.12,0.2872340425531915,0.06,0.07,0.39,0.22,0.06,0.44928,0.62
2020-02-09,0.631578947368421,44.61661207692955,62.98815822625348,14.43478626018309,171.39634891497545,5.9,0.44,15.74703955656337,1.5714285714285714,56.426891744352076,44.61661207692955,22.308306038464774,2.769230769230769,11.810279667422527,17.059292852943653,1.4482758620689655,0.6235294117647059,24.932812631225335,2.3055555555555554,17.059292852943653,1.4791666666666667,1.5263157894736843,51.177878558830955,1.2222222222222223,3.0,18.371546149323933,19.683799445704214,75.7780072557627,0.8842105263157894,14.43478626018309,2.235294117647059,0.06,0.49,14.43478626018309,0.38,22.308306038464774,4.388888888888889,0.08,1.375,0.34,0.9263157894736842,0.05,0.32,0.17,0.9416727272727273,0.15,0.22,0.1,0.4896,0.24622702702702703,0.2608695652173913,0.08320000000000001,0.5641025641025641,0.0,0.0,0.55,0.29,0.6153846153846154,0.6461538461538462,0.14,0.08,0.04,0.07,0.9,0.07,0.21,1.0664727272727272,0.19,0.28,1.8,0.3,0.02,3.5238095238095237,0.18,0.12,0.17,0.17971199999999998,0.0,0.48484848484848486,0.08,0.05,0.03,0.08,0.4184470588235294,0.56,0.1,0.28,0.0736,0.15,0.06,0.22,0.12,0.2872340425531915,0.07,0.1,0.4,0.22,0.05,0.48672,0.55
2020-02-16,0.6578947368421053,48.553371966070394,62.98815822625348,14.43478626018309,184.7866886739579,6.6,0.48,15.74703955656337,1.4285714285714286,57.73914504073236,45.928865373309826,20.996052742084494,2.8461538461538463,6.561266481901405,19.683799445704214,1.8620689655172413,0.6588235294117647,26.24506592760562,2.111111111111111,18.371546149323933,1.625,1.9473684210526316,39.36759889140843,1.0222222222222221,2.533333333333333,17.059292852943653,18.371546149323933,72.08151909694502,0.7789473684210526,18.371546149323933,2.235294117647059,0.07,0.48,14.43478626018309,0.38,22.308306038464774,3.2777777777777777,0.07,1.3125,0.35,0.8105263157894737,0.06,0.39,0.19,0.8509090909090908,0.16,0.21,0.12,0.5087999999999999,0.21587027027027028,0.2717391304347826,0.0864,0.5897435897435898,0.0,0.1248,0.57,0.29,0.6666666666666666,0.6461538461538462,0.15,0.09,0.04,0.08,1.025,0.07,0.25,1.0324363636363636,0.21,0.3,1.8857142857142857,0.32,0.02,4.0,0.19,0.11,0.17,0.164736,0.0,0.5606060606060606,0.08,0.05,0.02,0.09,0.44781176470588235,0.44,0.1,0.27,0.0768,0.13,0.06,0.25,0.13,0.2553191489361702,0.07,0.08,0.47,0.2,0.06,0.47423999999999994,0.63
2020-02-23,0.6842105263157895,49.86562526245067,61.6759049298732,13.12253296380281,187.4647566257544,6.1,0.41,17.059292852943653,1.2857142857142858,56.426891744352076,47.24111866969011,22.308306038464774,2.3846153846153846,9.185773074661967,19.683799445704214,1.9310344827586208,0.611764705882353,26.24506592760562,2.4722222222222223,18.371546149323933,1.5833333333333333,1.5263157894736843,38.05534559502814,1.0444444444444445,2.3333333333333335,15.74703955656337,18.371546149323933,64.68854277930961,0.7684210526315789,19.683799445704214,2.176470588235294,0.08,0.43,14.43478626018309,0.38,22.308306038464774,2.9444444444444446,0.08,1.28125,0.35,0.8105263157894737,0.06,0.34,0.17,1.0664727272727272,0.16,0.17,0.12,0.5472,0.19563243243243242,0.29347826086956524,0.08320000000000001,0.5512820512820513,0.0,0.13214117647058823,0.58,0.27,0.6666666666666666,0.6,0.14,0.1,0.03,0.05,0.9,0.07,0.27,1.1345454545454545,0.19,0.31,1.8571428571428572,0.34,0.02,3.7142857142857144,0.19,0.1,0.18,0.154752,0.0,0.5606060606060606,0.09,0.06,0.03,0.09,0.5285647058823529,0.32,0.1,0.29,0.0768,0.1,0.07,0.26,0.13,0.22340425531914893,0.06,0.09,0.48,0.22,0.05,0.5740799999999999,0.67
2020-03-01,0.6842105263157895,45.928865373309826,62.98815822625348,11.810279667422527,187.4647566257544,6.3,0.37,18.371546149323933,1.0714285714285714,52.49013185521124,49.86562526245067,22.308306038464774,2.076923076923077,9.185773074661967,18.371546149323933,1.6896551724137931,0.5882352941176471,26.24506592760562,2.2777777777777777,19.683799445704214,1.4791666666666667,1.5789473684210527,36.743092298647866,0.9777777777777777,2.2,14.43478626018309,18.371546149323933,62.84029869990077,0.8,20.996052742084494,2.0,0.07,0.44,14.43478626018309,0.35,22.308306038464774,2.8333333333333335,0.07,1.125,0.32,0.8210526315789474,0.05,0.33,0.16,0.9076363636363636,0.16,0.12,0.12,0.48,0.22261621621621622,0.30434782608695654,0.08960000000000001,0.5897435897435898,0.0,0.10277647058823529,0.56,0.25,0.6410256410256411,0.49230769230769234,0.13,0.09,0.02,0.04,0.95,0.08,0.25,1.021090909090909,0.19,0.34,1.7714285714285714,0.32,0.02,3.9047619047619047,0.18,0.1,0.17,0.129792,0.0,0.5454545454545454,0.07,0.05,0.03,0.1,0.35971764705882353,0.24,0.1,0.29,0.0672,0.08,0.07,0.21,0.12,0.18085106382978725,0.05,0.08,0.52,0.21,0.05,0.48672,0.66
