date,Basketballs,Soccer balls,Tennis rackets,Running shoes,Treadmills,Dumbbells,Yoga mats,Baseball bats,Swim goggles,Hiking boots,Camping tents,Football helmets,Bicycles,Skateboards,Ski equipment,Snowboards,Golf clubs,Cricket bats,Boxing gloves,Fishing rods,Kayaks,Canoes,Paddles,Climbing gear,Water bottles,Gym bags,Sports watches,Exercise bikes,Rowing machines,Weight benches,Resistance bands,Pull-up bars,Ellipticals,Protein powder,Running gear,Swim caps,Soccer cleats,Basketball jerseys,Fitness trackers,Hiking backpacks,Sleeping bags,Camping stoves,Headlamps,Sports sunglasses,Knee pads,Elbow pads,Ski poles,Snowshoes,Life jackets,Tennis balls,Sports uniforms,Baseball gloves,Frisbees,Lacrosse sticks,Squash rackets,Volleyballs,Scuba gear,Archery bows,Sports towels,Ankle weights,Jump ropes,Workout clothes,Fitness mats
2020-03-08,0.15,0.09,0.07,2.590909090909091,0.21,0.625,0.08,0.32,0.05,0.5324675324675324,0.1,0.09,0.6956521739130435,0.6891891891891891,0.03,0.21,0.96875,0.1664,0.37,0.29,0.4411764705882353,0.09,0.2828282828282828,0.09,1.1864406779661016,0.04,0.02,0.07,0.03,0.16319999999999998,0.30357142857142855,0.0,0.0352,1.6666666666666667,0.07,0.03,0.6388888888888888,0.13,0.02,0.44928,0.14,0.20467199999999997,0.07,0.52,0.26,0.06,0.04,0.07,0.09,0.17,0.49263157894736836,0.27,0.4311272727272727,0.09,0.0,0.34944,0.06,0.05,0.0,0.08,0.5740799999999999,0.27,0.0
2020-03-15,0.11,0.11,0.05,2.0454545454545454,0.39,2.7083333333333335,0.13,0.14,0.03,0.4155844155844156,0.09,0.06,0.717391304347826,0.6756756756756757,0.02,0.13,0.78125,0.11439999999999999,0.27,0.26,0.38235294117647056,0.07,0.25252525252525254,0.1,0.847457627118644,0.03,0.03,0.12,0.04,0.5568,1.0535714285714286,0.0,0.044800000000000006,1.1851851851851851,0.07,0.01,0.25,0.07,0.02,0.34944,0.11,0.23462399999999997,0.05,0.26,0.18,0.04,0.03,0.07,0.07,0.16,0.295578947368421,0.15,0.3517090909090909,0.05,0.0,0.26624,0.06,0.04,0.0,0.12,0.6614399999999999,0.19,0.30506666666666665
2020-03-22,0.1,0.1,0.05,2.409090909090909,0.43,3.75,0.15,0.1,0.03,0.45454545454545453,0.09,0.07,0.9565217391304348,0.8513513513513513,0.02,0.11,0.75,0.18719999999999998,0.3,0.31,0.47058823529411764,0.09,0.2727272727272727,0.11,0.7288135593220338,0.03,0.03,0.11,0.06,0.7584,1.7678571428571428,0.0,0.054400000000000004,1.2222222222222223,0.07,0.01,0.20833333333333334,0.09,0.02,0.35775999999999997,0.11,0.194688,0.05,0.208,0.19,0.03,0.02,0.05,0.08,0.18,0.3349894736842105,0.13,0.26094545454545454,0.04,0.0,0.36607999999999996,0.08,0.05,0.0,0.16,0.89856,0.27,0.4622222222222222
2020-03-29,0.1,0.11,0.04,2.8181818181818183,0.54,4.166666666666667,0.15,0.1,0.04,0.4675324675324675,0.1,0.08,1.0434782608695652,0.9594594594594594,0.02,0.1,0.78125,0.156,0.35,0.35,0.6176470588235294,0.11,0.2727272727272727,0.1,0.7966101694915254,0.03,0.03,0.15,0.05,0.96,1.7857142857142858,0.0,0.054400000000000004,1.4444444444444444,0.07,0.01,0.19444444444444445,0.08,0.02,0.32448,0.12,0.19968,0.05,0.26,0.2,0.05,0.02,0.05,0.09,0.2,0.2496,0.12,0.3517090909090909,0.04,0.0,0.27456,0.08,0.05,0.1280842105263158,0.19,1.17312,0.3,0.33742222222222223
2020-04-05,0.09,0.1,0.05,3.3181818181818183,0.63,3.8333333333333335,0.18,0.11,0.03,0.4935064935064935,0.11,0.07,1.391304347826087,1.027027027027027,0.01,0.11,0.875,0.1352,0.37,0.39,0.8235294117647058,0.11,0.31313131313131315,0.11,0.7796610169491526,0.03,0.03,0.14,0.06,0.8255999999999999,1.6964285714285714,0.0,0.0512,1.6666666666666667,0.08,0.01,0.20833333333333334,0.08,0.02,0.40768,0.12,0.17472,0.05,0.3328,0.24,0.06,0.02,0.04,0.11,0.17,0.5123368421052632,0.13,0.39709090909090905,0.03,0.07658181818181818,0.34112,0.1,0.05,0.0,0.19,1.2105599999999999,0.36,0.36977777777777776
2020-04-12,0.1,0.09,0.04,3.5454545454545454,0.7,3.75,0.18,0.1,0.03,0.5194805194805194,0.12,0.08,1.434782608695652,1.0810810810810811,0.01,0.11,0.9375,0.156,0.35,0.42,0.8823529411764706,0.12,0.3333333333333333,0.12,0.7627118644067796,0.02,0.02,0.16,0.06,0.8543999999999999,1.5178571428571428,0.0,0.0512,1.7777777777777777,0.09,0.01,0.19444444444444445,0.09,0.04,0.37439999999999996,0.13,0.259584,0.06,0.39519999999999994,0.27,0.05,0.01,0.03,0.12,0.15,0.4663578947368421,0.12,0.36305454545454546,0.03,0.0,0.35775999999999997,0.08,0.05,0.14450526315789475,0.23,1.23552,0.43,0.37439999999999996
2020-04-19,0.1,0.09,0.05,4.0,0.55,3.1666666666666665,0.2,0.1,0.03,0.6103896103896104,0.15,0.1,1.7173913043478262,1.0135135135135136,0.01,0.09,1.0,0.18719999999999998,0.34,0.41,1.0,0.14,0.35353535353535354,0.12,0.864406779661017,0.03,0.03,0.15,0.06,0.8831999999999999,1.3571428571428572,0.0,0.064,2.0,0.09,0.01,0.18055555555555555,0.08,0.04,0.43263999999999997,0.14,0.159744,0.06,0.3536,0.3,0.07,0.01,0.03,0.16,0.16,0.47949473684210525,0.11,0.4197818181818182,0.03,0.0,0.36607999999999996,0.07,0.05,0.06896842105263158,0.26,1.248,0.47,0.34204444444444443
2020-04-26,0.1,0.09,0.05,4.0,0.63,3.0416666666666665,0.2,0.11,0.04,0.6363636363636364,0.18,0.08,1.9565217391304348,1.1756756756756757,0.02,0.08,1.21875,0.0832,0.33,0.48,1.411764705882353,0.16,0.37373737373737376,0.11,0.7796610169491526,0.03,0.03,0.15,0.05,0.9408,1.2321428571428572,0.0,0.0576,2.111111111111111,0.08,0.01,0.19444444444444445,0.09,0.04,0.5990399999999999,0.14,0.14975999999999998,0.06,0.4992,0.31,0.07,0.01,0.03,0.21,0.18,0.26273684210526316,0.12,0.4992,0.04,0.0,0.34112,0.07,0.05,0.0,0.23,1.2105599999999999,0.46,0.32355555555555554
2020-05-03,0.09,0.09,0.07,4.2272727272727275,0.55,2.75,0.18,0.11,0.04,0.6623376623376623,0.21,0.09,2.152173913043478,1.162162162162162,0.01,0.08,1.5625,0.1664,0.33,0.52,1.7647058823529411,0.18,0.3838383838383838,0.11,0.8305084745762712,0.03,0.02,0.15,0.06,0.7104,1.0892857142857142,0.0,0.0576,2.111111111111111,0.09,0.02,0.20833333333333334,0.08,0.04,0.5824,0.15,0.23961599999999997,0.06,0.5928,0.36,0.08,0.02,0.03,0.26,0.18,0.3415578947368421,0.12,0.4311272727272727,0.03,0.0,0.32448,0.07,0.06,0.08867368421052631,0.23,1.0608,0.45,0.2496
2020-05-10,0.1,0.09,0.06,4.545454545454546,0.47,2.875,0.16,0.13,0.05,0.7792207792207793,0.23,0.08,2.0,1.2432432432432432,0.01,0.07,1.6875,0.1248,0.32,0.54,1.7647058823529411,0.19,0.42424242424242425,0.12,0.864406779661017,0.03,0.03,0.15,0.05,0.5952,0.9821428571428571,0.0,0.0608,2.037037037037037,0.08,0.01,0.20833333333333334,0.1,0.04,0.64896,0.19,0.304512,0.08,0.5304,0.35,0.08,0.02,0.03,0.28,0.21,0.3678315789473684,0.12,0.5672727272727273,0.03,0.0,0.3328,0.08,0.06,0.08867368421052631,0.2,1.1356799999999998,0.42,0.25422222222222224
